cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
00.478.911/0001-29,10366034,"Ar condicionado Q/F tipo split HI WALL",29,"DIGIPLUS TECNOLOGIA EIRELI",5,UND,8450,7225,1690,1445
05.948.061/0001-07,27278,"Balança eletrônica infantil",18,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",1,UN,890,652.3,890,652.3
05.948.061/0001-07,15000,"Mesa auxiliar de mayo",21,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",1,UNI,390,302.7,390,302.7
05.948.061/0001-07,32224,"Mocho com assento e encosto",22,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",1,UNI,295,257.43,295,257.43
05.948.061/0001-07,24251,"SUPORTE PARA HAMPER",23,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",1,UNI,225,141.55,225,141.55
03.790.887/0001-57,32214,"Bancada com cuba central",8,"PAPELARIA ESPACO ESCOLAR LTDA",1,UNI,2650,2200,2650,2200
03.790.887/0001-57,32215,"Bancada com 02 cubas",9,"PAPELARIA ESPACO ESCOLAR LTDA",1,UNI,2850,2600,2850,2600
03.790.887/0001-57,32220,"Quadro branco magnético",16,"PAPELARIA ESPACO ESCOLAR LTDA",2,UNI,390,300.88,195,150.44
03.790.887/0001-57,32222,"Lixeira cilíndrica Deverá vir com a simbologia de Infectant",19,"PAPELARIA ESPACO ESCOLAR LTDA",4,UNI,356,216,89,54
03.790.887/0001-57,32223,"Lixeira cilíndrica",20,"PAPELARIA ESPACO ESCOLAR LTDA",10,UNI,950,560,95,56
03.790.887/0001-57,32227,"Suporte de parede para Forno de Microondas",28,"PAPELARIA ESPACO ESCOLAR LTDA",1,UNI,43,25.16,43,25.16
03.790.887/0001-57,32229,"Refrigerador tipo doméstico",30,"PAPELARIA ESPACO ESCOLAR LTDA",3,UNI,4185,3695.91,1395,1231.97
18.619.082/0001-12,27394,"Contentor de lixo",24,"RIF COMERCIAL ATACADISTA LTDA.",1,UN,434,313.9,434,313.9
18.619.082/0001-12,32225,"Lixeiras de plástico com tampa",25,"RIF COMERCIAL ATACADISTA LTDA.",7,UNI,126,16.45,18,2.35
18.619.082/0001-12,32226,"Organizador multiuso",26,"RIF COMERCIAL ATACADISTA LTDA.",6,UNI,216,170.76,36,28.46
18.619.082/0001-12,27391,"Pote de policarbonato com tampa",27,"RIF COMERCIAL ATACADISTA LTDA.",7,UN,1386,1085,198,155
18.619.082/0001-12,32228,"Televisor colorido 42 polegadas",31,"RIF COMERCIAL ATACADISTA LTDA.",1,UNI,2840,2540,2840,2540
20.132.150/0001-66,19855,"Mesa Escrivaninha",1,"NORMELIA LOTTERMANN EPP",5,UNI,4500,4325,900,865
20.132.150/0001-66,32211,"Armário Aéreo fechado.",2,"NORMELIA LOTTERMANN EPP",2,UN,2900,2500,1450,1250
20.132.150/0001-66,19858,"Armário arquivo para pasta suspensa",3,"NORMELIA LOTTERMANN EPP",4,UN,3960,3640,990,910
20.132.150/0001-66,27505,"Armário aberto tipo Prateleira 1,00 x 0,30 x 2,00m",5,"NORMELIA LOTTERMANN EPP",2,UNI,1180,976,590,488
20.132.150/0001-66,12020016,BALCAO,6,"NORMELIA LOTTERMANN EPP",3,UNI,4950,4350,1650,1450
20.132.150/0001-66,120600449,GAVETEIRO,7,"NORMELIA LOTTERMANN EPP",6,UND,3060,2880,510,480
20.132.150/0001-66,32217,"Cadeira giratória tipo executiva.",11,"NORMELIA LOTTERMANN EPP",6,UNI,1920,1617,320,269.5
20.132.150/0001-66,3996,"CADEIRA ESTOFADA",12,"NORMELIA LOTTERMANN EPP",22,UN,3410,2728,155,124
20.132.150/0001-66,10367736,Poltrona,13,"NORMELIA LOTTERMANN EPP",6,UND,3390,3090,565,515
20.132.150/0001-66,120600443,"MESA SIMPLES",14,"NORMELIA LOTTERMANN EPP",2,UND,1990,1800,995,900
15.825.521/0001-55,26006,"Armário com 2 portas",4,"EKOMOB COMERCIO LTDA EPP",10,UN,13950,10750,1395,1075
15.825.521/0001-55,32216,"Balcão de pia",10,"EKOMOB COMERCIO LTDA EPP",1,UNI,798,700,798,700
15.825.521/0001-55,31022,"Mesa reunião oval",15,"EKOMOB COMERCIO LTDA EPP",1,UN,1920,1820,1920,1820
15.825.521/0001-55,32221,"Armário tipo Vestiário.",17,"EKOMOB COMERCIO LTDA EPP",2,UNI,1660,1460,830,730
