cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
08.380.504/0001-96,399,"Portal de entrada - Etnias",1,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",7,UND,3500,2491.65,500,355.95
08.380.504/0001-96,400,"Balcões Frontais - Etnias",2,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",92,ML,9200,5239.4,100,56.95
08.380.504/0001-96,401,"Divisórias 01",3,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",240,ML,4800,3247.2,20,13.53
08.380.504/0001-96,402,"Divisórias 02",4,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",80,ML,4000,2278.4,50,28.48
08.380.504/0001-96,403,"Mobiliário: mesas plásticas",5,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",1000,UND,6000,3560,6,3.56
08.380.504/0001-96,404,"Mobiliário:cadeiras plásticas",6,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",4000,UND,12000,7120,3,1.78
08.380.504/0001-96,405,"Piso entrada/divisória: Tablado de madeira",7,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",56,M2,1201.2,797.44,21.45,14.24
08.380.504/0001-96,406,"Piso entrada/divisória: divisórias montadas com perfis de al",8,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",20,ML,800,498.4,40,24.92
08.380.504/0001-96,407,"Camarins: camarins medindo 5x5m (25m²)",9,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",2,UND,1600,1124.82,800,562.41
08.380.504/0001-96,408,"Camarins: camarins medindo 3x5m (15m²)",10,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",1,UND,1200,783.1,1200,783.1
08.380.504/0001-96,409,"Palco 01: Palco medindo 12x10m",11,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",1,UND,16800,7830.96,16800,7830.96
08.380.504/0001-96,410,"Palco 02: Palco medindo 15x12m",12,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",1,UND,12000,6407.15,12000,6407.15
08.380.504/0001-96,253,"Locação de barricadas de proteção de palco",13,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",300,M,18000,12387,60,41.29
08.380.504/0001-96,411,Camarotes,14,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",5,UND,3000,1779.75,600,355.95
08.380.504/0001-96,412,Piso,15,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",1100,M2,27500,17226,25,15.66
08.380.504/0001-96,247,"Locação de bancadas",16,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",35,M2,3500,1993.25,100,56.95
08.380.504/0001-96,248,"Locação de armários",17,"SILVA E SILVA ESTRUTURAS METÁLICAS LTDA ME",30,UND,3450,2135.7,115,71.19
