cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
01.004.788/0001-77,INDIVIDUAL," ","itensProposta_b4b9e9d8-855f-448e-ac46-bf1b3929d4cd.csv","INNO INFORMATICA LTDA","LAUDENIR JEREMIAS","LAUDENIR JEREMIAS"," "
02.315.593/0001-00,INDIVIDUAL," ","itensProposta_ed6562e4-cad5-4a4c-9750-579846157105.csv","ORLEANS INFORMATICA LTDA ME","CHARLES MADEIRA MELO","CHARLES MADEIRA MELO"," "
73.540.379/0001-04,INDIVIDUAL," ","itensProposta_fda2dbc3-63e7-44ff-b6cf-3a08a388c47c.csv","CARLESSI ESPORTES LTDA",,," "
00.147.109/0001-56,INDIVIDUAL," ","itensProposta_25745e8a-0aaf-4f23-b424-2d66b3b72a9c.csv","AQUINPEL SUPRIMENTOS PARA ESCRITORIO INFORMATICA E PAPELARIA EIRELI","RICARDO NOCETTI LUNARDELLI","RICARDO NOCETTI LUNARDELLI"," "
03.790.887/0001-57,INDIVIDUAL," ","itensProposta_660924d0-cbeb-4be9-b1b2-f4d81a98f3ba.csv","PAPELARIA ESPACO ESCOLAR LTDA","CLAUDETE MAZON SLACHTA","CLAUDETE MAZON SLACHTA"," "
83.413.591/0003-18,INDIVIDUAL," ","itensProposta_60450ddc-b489-4837-be98-5f2acc35b94f.csv","DICAPEL PAPEIS E EMBALAGENS LTDA","EDSON FERNANDO MAZZUCO","EDSON FERNANDO MAZZUCO"," "
02.537.692/0001-37,INDIVIDUAL," ","itensProposta_9b9467a4-b22d-4172-a501-cb10d983292b.csv","GOLD COMPUTADORES LTDA","SANDRO PIETSCH","SANDRO PIETSCH"," "
04.586.694/0001-41,INDIVIDUAL," ","itensProposta_67718d7a-1bf7-4e71-b899-074839584099.csv","INFOTRIZ COMERCIAL EIRELI EPP","BRUNO SANTOS","BRUNO SANTOS"," "
18.619.082/0001-12,INDIVIDUAL," ","itensProposta_dcd150b2-63d5-4472-9030-075169039ea4.csv","RIF COMERCIAL ATACADISTA LTDA ME","PAULO ADEMIR REUS","PAULO ADEMIR REUS"," "
03.925.659/0001-47,INDIVIDUAL," ","itensProposta_53318c8c-62ed-4d96-8b03-fc750918a183.csv","JVETEC INFORMATICA EIRELI","JOEL HOBOLD","JOEL HOBOLD"," "
20.750.950/0001-40,INDIVIDUAL," ","itensProposta_ad430cd4-488e-4779-8402-3471a3eb49ab.csv","DISMEC DISTRIBUIDORA DE MATERIAIS DE ESCRITORIO LT","JOSÉ PAULO DE BETTIO","JOSÉ PAULO DE BETTIO"," "
