cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
03.033.589/0001-12,INDIVIDUAL," ","itensProposta_d4f64439-5838-4c6b-ae85-262b381791a3.csv","OLIMED MATERIAL HOSPITALAR","RAFAEL GUSTAVO KOHLER","RAFAEL GUSTAVO KOHLER"," "
02.223.342/0001-04,INDIVIDUAL," ","itensProposta_020f4011-ac84-42e6-84cf-8417b17a1967.csv","STARMED ARTIGOS MÉDICOS E HOSPITALARES LTDA","WALDIR CAMPOS FILHO","WALDIR CAMPOS FILHO"," "
83.157.032/0001-22,INDIVIDUAL," ","itensProposta_eda177db-daab-40c5-bbea-4d217a9ace0b.csv","METROMED MATERIAL MEDICO HOSPITALAR","FABIANO AUGUSTO FERRARI","FABIANO AUGUSTO FERRARI"," "
00.802.002/0001-02,INDIVIDUAL," ","itensProposta_da3eafa9-7cf5-45de-a5c4-86ca5d1343cc.csv","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA","PAULO ROBERTO DE OLIVEIRA RUSZCZAK","PAULO ROBERTO DE OLIVEIRA RUSZCZAK"," "
05.531.725/0001-20,INDIVIDUAL," ","itensProposta_a1d4b5c5-5ae1-4b17-a334-45a8d092996c.csv","SOMA/SC PRODUTOS HOSPITALARES LTDA","FÁBIO SILVEIRA MARCELINO","FÁBIO SILVEIRA MARCELINO"," "
06.035.038/0001-86,INDIVIDUAL," ","itensProposta_94b2235b-7d76-4185-b9f6-6def2c704fe6.csv","EXTRA DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS HOSPITALARES EIRELI","ADROALDO MACHADO","ADROALDO MACHADO"," "
05.948.061/0001-07,INDIVIDUAL," ","itensProposta_82e70dc7-7c82-462a-9909-81b2d89deb60.csv","ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA","LUIZ HENRIQUE ALBERTON","LUIZ HENRIQUE ALBERTON"," "
01.571.702/0001-98,INDIVIDUAL," ","itensProposta_eeeb7338-9684-4688-bfdc-460631639135.csv","HALEX ISTAR INDUSTRIA FARMACEUTICA LTDA",,," "
06.555.143/0001-46,INDIVIDUAL," ","itensProposta_be751d9c-8d34-41c6-818e-3aeaa337148a.csv","TRADE MEDICAL COM DE MAT HOSPITALARES LTDA","ALEXANDRE BIANCHINI DE AZEVEDO","ALEXANDRE BIANCHINI DE AZEVEDO"," "
57.532.343/0001-14,INDIVIDUAL," ","itensProposta_5ec0b49c-1dd0-4e6c-881d-d927deac4bf8.csv","L.M.FARMA INDÚSTRIA E COMÉRCIO LTDA",,," "
03.505.263/0001-40,INDIVIDUAL," ","itensProposta_af2565b4-1801-43f6-adce-76a33f1d1bd3.csv","PRODUVALE PRODUTOS HOSPITALARES LTDA","MARCOS ANTONIO GUGELMIN VELHO","MARCOS ANTONIO GUGELMIN VELHO"," "
07.990.315/0001-72,INDIVIDUAL," ","itensProposta_5b61c96a-029c-4527-b15c-705abc382bd6.csv","BRAZIL HEALTH PRODUTOS HOSPITALES LTDA ME","ALESSANDRA JOSÉ LAURINDO","ALESSANDRA JOSÉ LAURINDO"," "
09.200.303/0001-22,INDIVIDUAL," ","itensProposta_efc72012-48cb-48b4-9af0-dd24b6e006eb.csv","PLASMEDIC COM. DE MAT. USO MEDICO E LABOR. LTDA","ELTON RODRIGUES BORGES","ELTON RODRIGUES BORGES"," "
02.881.877/0001-64,INDIVIDUAL," ","itensProposta_08a92d92-9e55-4126-834e-f89bc864b9cd.csv","POLAR FIX INDUSTRIA E COMERCIO DE PRODUTOS HOSPITALARES LTDA","ALEXANDRE DUARTE","ALEXANDRE DUARTE"," "
09.196.745/0001-42,INDIVIDUAL," ","itensProposta_50b4da50-54f1-4016-b13a-3f07a220a9f2.csv","SEBOLD COMERCIAL ATACADO DE PRODUTOS, ALIMENTOS E EQUIPAMENTOS LTDA","LUIZ FERNANDO DE OLIVEIRA","LUIZ FERNANDO DE OLIVEIRA"," "
01.623.403/0001-50,INDIVIDUAL," ","itensProposta_968da227-d1c2-4cf4-a6f0-9600cdc35c33.csv","BIOTEXTIL INDUSTRIA E COMERCIO LTDA","JULIO CESAR TONDOLO","JULIO CESAR TONDOLO"," "
11.145.401/0001-56,INDIVIDUAL," ","itensProposta_049d22b7-aed5-406e-a568-ce84fdbf3b93.csv","L A DALLA PORTA JUNIOR","LUIS ALBERTO DALLA  PORTA","LUIS ALBERTO DALLA  PORTA"," "
11.754.622/0001-21,INDIVIDUAL," ","itensProposta_c9b808a9-04ed-4c89-bf09-0e0e47aa85b7.csv","CIRÚRGICA FLORIANÓPOLIS COM. DE MAT. HOSP. LTDA EP","LUCIANO ALTINO CORDEIRO","LUCIANO ALTINO CORDEIRO"," "
