cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
78.886.579/0001-29,0,,451,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,981,894.6,32.7,29.82
78.886.579/0001-29,0,,452,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1331.4,1212,44.38,40.4
78.886.579/0001-29,0,,453,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1436.4,1298.7,47.88,43.29
78.886.579/0001-29,0,,454,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1436.4,1298.7,47.88,43.29
78.886.579/0001-29,0,,455,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1436.4,1298.7,47.88,43.29
78.886.579/0001-29,0,,456,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,875.7,793.5,29.19,26.45
78.886.579/0001-29,0,,457,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,665.7,606,22.19,20.2
78.886.579/0001-29,0,,458,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,875.7,793.5,29.19,26.45
78.886.579/0001-29,0,,459,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1716.6,1558.5,57.22,51.95
78.886.579/0001-29,0,,460,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1121.1,1010.1,37.37,33.67
78.886.579/0001-29,0,,461,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1821.6,1644.9,60.72,54.83
78.886.579/0001-29,0,,462,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1576.5,1440,52.55,48
78.886.579/0001-29,0,,463,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1856.7,1688.4,61.89,56.28
78.886.579/0001-29,0,,464,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,911.1,831.3,30.37,27.71
78.886.579/0001-29,0,,465,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,911.1,831.3,30.37,27.71
78.886.579/0001-29,0,,466,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,981,894.6,32.7,29.82
78.886.579/0001-29,0,,467,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,2802.6,2539.8,93.42,84.66
78.886.579/0001-29,0,,468,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,2487.6,2251.2,82.92,75.04
78.886.579/0001-29,0,,469,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,2942.7,2684.1,98.09,89.47
78.886.579/0001-29,0,,470,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1226.1,1111.2,40.87,37.04
78.886.579/0001-29,0,,471,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1436.4,1298.7,47.88,43.29
78.886.579/0001-29,0,,472,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1436.4,1298.7,47.88,43.29
78.886.579/0001-29,0,,473,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1226.1,1111.2,40.87,37.04
78.886.579/0001-29,0,,474,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1156.2,1038.9,38.54,34.63
78.886.579/0001-29,0,,475,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1891.8,1702.8,63.06,56.76
78.886.579/0001-29,0,,476,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1331.4,1183.2,44.38,39.44
78.886.579/0001-29,0,,477,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1401.6,1269.9,46.72,42.33
78.886.579/0001-29,0,,478,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1506.3,1356.3,50.21,45.21
78.886.579/0001-29,0,,479,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1471.5,1327.5,49.05,44.25
78.886.579/0001-29,0,,480,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,2067,1875.9,68.9,62.53
78.886.579/0001-29,0,,481,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1961.7,1789.2,65.39,59.64
78.886.579/0001-29,0,,482,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1716.6,1558.5,57.22,51.95
78.886.579/0001-29,0,,483,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1856.7,1699.8,61.89,56.66
78.886.579/0001-29,0,,484,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1926.9,1731.6,64.23,57.72
78.886.579/0001-29,0,,485,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1226.1,1111.2,40.87,37.04
78.886.579/0001-29,0,,486,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,1261.2,1151.4,42.04,38.38
78.886.579/0001-29,0,,487,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,840.9,767.7,28.03,25.59
78.886.579/0001-29,0,,488,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,805.8,738.9,26.86,24.63
78.886.579/0001-29,0,,489,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,805.8,738.9,26.86,24.63
78.886.579/0001-29,0,,490,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,875.7,796.5,29.19,26.55
78.886.579/0001-29,0,,491,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,805.8,738.9,26.86,24.63
78.886.579/0001-29,0,,492,"IMACRI IDROMAQUINAS CRICIUMA LTDA",30,,805.8,738.9,26.86,24.63
