cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
24.277.245/0001-29,10299246,"Câmara de ar 17.5x25",9,"DS PNEUS LTDA",4,UND,781.12,768,195.28,192
24.277.245/0001-29,10362240,"Pneu Novo 1000x20,radial,misto,borrachudo,16 lonas",14,"DS PNEUS LTDA",15,UND,27000,26745,1800,1783
24.277.245/0001-29,10362240,"Pneu Novo 1000x20,radial,misto,borrachudo,16 lonas",15,"DS PNEUS LTDA",45,UND,81000,63630,1800,1414
24.277.245/0001-29,10362241,"Pneu Novo 1000x20,radial,misto,liso,16 lonas",16,"DS PNEUS LTDA",20,UND,34980,33900,1749,1695
24.277.245/0001-29,10366451,"Pneu Novo 12x16,5",17,"DS PNEUS LTDA",6,UND,7329.66,7296,1221.61,1216
24.277.245/0001-29,10366452,"Pneu Novo 1100x20, Compactador 18 Lonas",18,"DS PNEUS LTDA",7,UND,18590.04,18550,2655.72,2650
24.277.245/0001-29,10366453,"Pneu Novo 1100x22, radial, borrachudo, 16 Lonas",20,"DS PNEUS LTDA",4,UND,8600,8596,2150,2149
24.277.245/0001-29,10366454,"Pneu Novo 1100x22,  radial liso, 16 Lonas",21,"DS PNEUS LTDA",8,UND,13720,13712,1715,1714
24.277.245/0001-29,10299240,"Pneu novo 1300x24 12 lonas",23,"DS PNEUS LTDA",12,UND,27033.6,27000,2252.8,2250
24.277.245/0001-29,10299243,"Pneu novo 165/70 R13",25,"DS PNEUS LTDA",200,UND,41410,40400,207.05,202
24.277.245/0001-29,81300107,"Pneu Novo 17,5x25 L3 16 Lonas",26,"DS PNEUS LTDA",8,UND,44640,44632,5580,5579
24.277.245/0001-29,10301199,"Pneu novo 175/70 R14",27,"DS PNEUS LTDA",20,UND,6375,6060,318.75,303
24.277.245/0001-29,10301195,"Pneu novo 185 R14 8 lonas",28,"DS PNEUS LTDA",20,UND,8453.8,8340,422.69,417
24.277.245/0001-29,10366455,"Pneu Novo 185/70 R14",29,"DS PNEUS LTDA",140,UND,43820,43400,313,310
24.277.245/0001-29,81300110,"Pneu Novo 19,5x24 12 Lonas Traseiro",30,"DS PNEUS LTDA",12,UND,47739.6,47520,3978.3,3960
24.277.245/0001-29,340100122,"Pneu Novo 195/60 R15",31,"DS PNEUS LTDA",8,UND,3808,2920,476,365
24.277.245/0001-29,81300119,"Pneu Novo 195/75 R16",32,"DS PNEUS LTDA",4,UND,2600,2088,650,522
24.277.245/0001-29,10366456,"Pneu Novo 20,5x25 L3 20 Lonas",33,"DS PNEUS LTDA",4,UND,24424,24384,6106,6096
24.277.245/0001-29,230202999,"PNEU NOVO 205/55 R16",34,"DS PNEUS LTDA",4,UND,1562,1500,390.5,375
24.277.245/0001-29,10362242,"Pneu Novo 205/70/15",35,"DS PNEUS LTDA",8,UND,4391.76,3712,548.97,464
24.277.245/0001-29,81300116,"Pneu Novo 205/75/16",36,"DS PNEUS LTDA",40,UND,25010.4,23600,625.26,590
24.277.245/0001-29,10366457,"Pneu Novo 215/75 R 17,5,radial,liso",37,"DS PNEUS LTDA",60,UND,58875,56880,981.25,948
24.277.245/0001-29,10373340,"Pneu Novo 225/ 50 R17",38,"DS PNEUS LTDA",8,UND,4860.48,4560,607.56,570
24.277.245/0001-29,10373341,"Pneu Novo 235/70 R16",39,"DS PNEUS LTDA",16,UND,12319.68,11680,769.98,730
24.277.245/0001-29,10373342,"Pneu Novo 235/75 R15",40,"DS PNEUS LTDA",12,UND,8164.8,7716,680.4,643
24.277.245/0001-29,340100123,"Pneu Novo 265/70 R16",41,"DS PNEUS LTDA",4,UND,3080,3036,770,759
24.277.245/0001-29,10366459,"Pneu Novo 275/80x22,5 Radial Liso",42,"DS PNEUS LTDA",8,UND,13229.52,13184,1653.69,1648
24.277.245/0001-29,10373343,"Pneu Novo 750x16 Borrachudo 12 lonas",44,"DS PNEUS LTDA",12,UND,7047,7032,587.25,586
24.277.245/0001-29,10299236,"Pneu novo 750x16 liso 12 lonas",45,"DS PNEUS LTDA",6,UND,3735,3522,622.5,587
24.277.245/0001-29,10366461,"Pneu Novo 900x20 radial, Borrachudo 14 Lonas",46,"DS PNEUS LTDA",20,UND,26399.6,26360,1319.98,1318
24.277.245/0001-29,10366462,"Pneu Novo 900x20 radial,Liso 14 Lonas",47,"DS PNEUS LTDA",20,UND,25907.4,25880,1295.37,1294
24.277.245/0001-29,81300015,"Serviços de balanceamento (automóvel)",56,"DS PNEUS LTDA",300,SV,3000,2850,10,9.5
24.277.245/0001-29,81300014,"Serviços de geometria (automovel)",57,"DS PNEUS LTDA",300,SV,15000,14700,50,49
14.320.587/0001-20,10373337,"Câmara de ar 1000x20 com valvula de metal",1,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",30,UND,2604.9,2520,86.83,84
14.320.587/0001-20,10373338,"Câmara de ar 1100x22 com valvula de metal",2,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",10,UND,1064.1,1040,106.41,104
14.320.587/0001-20,10366447,"Câmara de ar 12,5/80x18",3,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",2,UND,363,240,181.5,120
14.320.587/0001-20,10113493,"CAMARA DE AR 13",4,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",5,UND,186.7,170,37.34,34
14.320.587/0001-20,10102607,"CAMARA DE AR 1300X24",5,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",20,UND,2505.6,2500,125.28,125
14.320.587/0001-20,10109662,"CAMARA DE AR 14",6,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",10,UND,439.8,370,43.98,37
14.320.587/0001-20,10100668,"CAMARA DE AR 1400X24",7,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",20,UND,3600,3580,180,179
14.320.587/0001-20,10366448,"Câmara de ar 15",8,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",2,UND,100,94,50,47
14.320.587/0001-20,10366449,"Câmara de ar 19,5x24",10,"TRANSPORTE E COMERCIO DE PNEUS OENNING LTDA - EPP",2,UND,463.22,460,231.61,230
