cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
94.894.169/0001-86,10373249,"Br. Escopolamina + Dipirona gts",7,"MAURO MARCIANO COMÉRCIO DE MEDICAMENTOS LTDA",3000,FR,21690,18300,7.23,6.1
05.531.725/0001-20,10305402,"Carbamazepina  	20 mg/mL 	Suspensão Oral	Frasco 100 mL",10,"SOMA/SC PRODUTOS HOSPITALARES LTDA",2000,FRA,24840,19980,12.42,9.99
00.802.002/0001-02,10362495,"AMITRIPTILINA 25 MG",4,"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA",200000,COMP,11600,8000,0.058,0.04
00.802.002/0001-02,10368468,"BENZILPENICILINA (1.200.000 UI).",5,"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA",5000,FRA,59950,51350,11.99,10.27
00.802.002/0001-02,10364760,"Clortalidona 25mg",12,"ALTERMED MATERIAL MEDICO HOSPITALAR LTDA",32000,COMP,3513.6,5977.6,0.1098,0.1868
02.520.829/0001-40,10362525,"BENZOATO DE BENZILA  25% 100 ML",6,"DIMASTER COMERCIO DE PRODUTOS HOSPITALARES LTDA",500,FRA,1975,1370,3.95,2.74
02.520.829/0001-40,10373251,"cefalexina caps",11,"DIMASTER COMERCIO DE PRODUTOS HOSPITALARES LTDA",100000,CPLA,42000,34800,0.42,0.348
02.520.829/0001-40,10373253,"Neomicina +Bacitracina pom",22,"DIMASTER COMERCIO DE PRODUTOS HOSPITALARES LTDA",5000,UND,12400,5050,2.48,1.01
44.734.671/0001-51,10362702,"DIAZEPAM 10 MG",13,"Cristália Produtos Químicos e Farmacêuticos Ltda",300000,COMP,17700,13950,0.059,0.0465
67.729.178/0004-91,10305336,"Aminofilina  	100 mg	Comprimido",3,"COMERCIAL CIRURGICA RIOCLARENSE LTDA",80000,COMP,6400,5760,0.08,0.072
67.729.178/0004-91,10362939,"METILDOPA 500 MG",17,"COMERCIAL CIRURGICA RIOCLARENSE LTDA",60000,COMP,25158,30000,0.4193,0.5
81.706.251/0001-98,10362485,"AMBROXOL 3MG/ML",1,"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA",1000,FRA,4040,1390,4.04,1.39
81.706.251/0001-98,10362486,"AMBROXOL 6MG/ML",2,"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA",1000,FRA,3900,1428,3.9,1.428
81.706.251/0001-98,10305385,"Bromazepam	3mg	Comprimido",8,"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA",50000,COMP,18285,5710,0.3657,0.1142
81.706.251/0001-98,10305386,"Bromazepam	6mg	Comprimido",9,"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA",80000,UND,26000,15520,0.325,0.194
81.706.251/0001-98,10373254,"Nistatina Creme Vaginal 60g Sem Aplicadores",23,"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA",5000,UND,24500,15172.5,4.9,3.0345
81.706.251/0001-98,10305707,"Paracetamol 	500 mg	Comprimido",24,"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA",500000,UND,22500,19400,0.045,0.0388
12.889.035/0001-02,10364801,"Finasterida 5mg",14,"INOVAMED HOSPITALAR LTDA",50000,COMP,37100,13500,0.742,0.27
12.889.035/0001-02,10305566,"Fluconazol	150 mg	Comprimido",15,"INOVAMED HOSPITALAR LTDA",50000,UND,24500,9900,0.49,0.198
76.386.283/0001-13,10366085,"INSULINA LISPRO 100UI/ML (HUMALOG) 10ML",30,"DIMEVA DISTRIBUIDORA E IMPORTADORA LTDA - EPP",50,FRA,5882.5,5300,117.65,106
