cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
08.467.533/0001-90,33268,"ACIONAMENTO ELÉTRICO P/ TORNEIRA 220V",1,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,780,760,195,190
08.467.533/0001-90,34942,"ANEL DO PISTÃO COMPRESSOR (GNATUS)",2,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",12,UNI,720,684,60,57
08.467.533/0001-90,23359,"anel vedação vaso sanitário",3,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",12,UNI,1176,1152,98,96
08.467.533/0001-90,33270,"BIELA DO COMPRESSOR",4,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,276,261,92,87
08.467.533/0001-90,33271,"BLOCO MONIFOLDER 220V THERMOVAL",5,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,1542,1470,514,490
08.467.533/0001-90,33272,"BOBINA SOLDADA 220 DANFOSS CRISTOFOLI",6,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,440,420,110,105
08.467.533/0001-90,30390,"BRACO DE SELAGEM SELADORA PLUS",7,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UN,530,495,106,99
08.467.533/0001-90,33273,"CABECA CANETA MRS-400",8,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",6,UNI,840,822,140,137
08.467.533/0001-90,34943,"coluna gas 200mm C9241 CZ-CL (GNATUS)",9,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UN,1200,1125,240,225
08.467.533/0001-90,34944,"CJ.PCI JET  SONIC 1",10,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UN,1020,1002,340,334
08.467.533/0001-90,33274,"CABEÇA COM TUBOS KAVO (605 ANT)",11,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,560,548,140,137
08.467.533/0001-90,34945,"CANETA JATO DE PO (2007)",12,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UND,1080,1050,360,350
08.467.533/0001-90,34946,"ENGRENAGEM MONTADA (C.A KAVO)",13,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",8,UNI,1280,1248,160,156
08.467.533/0001-90,33275,"CABECA CROMADO FOSCO C.A DABI",14,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UN,285,273,95,91
08.467.533/0001-90,33276,"CABO MANGA PLENA",15,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,210,210,70,70
08.467.533/0001-90,33277,"CAMISA DO CILINDRO  DO COMPRESSOR (GNATUS)",16,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,440,432,110,108
08.467.533/0001-90,33278,"CANETA ULTRA SOM SCHUSTER",17,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,2457,2394,819,798
08.467.533/0001-90,30393,"CIRCUITO POTENCIA PLENA BIV (QUADRA 21)",18,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UN,2160,2097,720,699
08.467.533/0001-90,33279,"CIRCUITO QUADRA 21 CPU DISPLAY BIVOLTI",19,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UN,1065,1050,355,350
08.467.533/0001-90,33280,"CJ. EIXO PRINCIPAL CONTRA ANGULO DABI ATLANTE",20,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,636,624,212,208
08.467.533/0001-90,33281,"CJ. SUCTOR SALIVA VENTURI GNATUS",21,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,364,356,91,89
08.467.533/0001-90,33282,"CJ. TERMINAL TRIPLO BORDEN GN32 GNATUS",22,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UNI,475,460,95,92
08.467.533/0001-90,33283,"CONECTOR FCL C/ CAPACITOR SOLDADO",23,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,300,288,75,72
08.467.533/0001-90,33284,"EIXO DIANTEIRO CONTRA-ANGULO DABI",24,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UNI,875,860,175,172
08.467.533/0001-90,34946,"ENGRENAGEM MONTADA (C.A KAVO)",25,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",8,UNI,1280,1264,160,158
08.467.533/0001-90,33286,"ESPURGO COMPRESSOR (COM MANGUEIRA)",26,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,380,372,95,93
08.467.533/0001-90,33287,"FILTRO DO SUGADOR OLSEN",27,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UN,292,280,73,70
08.467.533/0001-90,34947,"FILTRO DO CABEÇOTE COMPRESSOR 1/4",28,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,168,156,42,39
08.467.533/0001-90,33288,"FILTRO REG. 1/4 C/MANOMETRO FRM 1200",29,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",12,UNI,2520,2484,210,207
08.467.533/0001-90,33289,"FONTE ALIMENTACAO II 5V -1A J4 C/ TRAVA",30,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,267,255,89,85
08.467.533/0001-90,33290,"GUARNICAO DE SILICONE PARA ODONTOLOGICO AHMC5",31,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,752,740,188,185
08.467.533/0001-90,33291,"GUIA DO TERMINAL BORDEN M.M DABI",32,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,140,132,35,33
08.467.533/0001-90,30391,"GUILHOTINA SELADORA PLUS",33,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",6,UN,372,354,62,59
08.467.533/0001-90,34948,"JAQUETA INTEGRAL CILINDRO S45/S55",34,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UN,600,592,150,148
08.467.533/0001-90,34949,"JUNTA CAMISA ORING CILINDRO COMPRES. (GNATUS)",35,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UN,80,72,20,18
08.467.533/0001-90,33292,"KIT BANDEJA AUXILIAR PLASTICA",36,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,552,540,184,180
08.467.533/0001-90,33293,"KIT RODIZIO PARA MOCHO (SILICONE)",37,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",7,UNI,672,665,96,95
08.467.533/0001-90,34950,"KIT ROTOR A.R PB (GNATUS)",38,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,1440,1424,360,356
08.467.533/0001-90,30386,"KIT VALVULA SOLENOIDE DANFOS 220",39,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UN,1040,1024,260,256
08.467.533/0001-90,33294,"LAMPADA H3 12V x 55W",40,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",8,UNI,152,144,19,18
08.467.533/0001-90,34951,"LAMPADA HALOSTAR OSRAM 12V 50W",41,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UN,96,88,24,22
08.467.533/0001-90,27024,"Lampada 12v x 75w",42,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UN,255,249,85,83
08.467.533/0001-90,30395,"LIMPCLAVE DETERGENTE P/LIMPEZA AUTOCLAVE",43,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",6,UN,522,510,87,85
08.467.533/0001-90,33295,"MANGUEIRA 1,6mm CRISTAL",44,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UNI,90,85,9,8.5
08.467.533/0001-90,25295,"MANGUEIRA DUPLA 3,3MM",45,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UN,190,180,19,18
08.467.533/0001-90,33296,"MANGUEIRA SUGADOR",46,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,M,160,155,16,15.5
08.467.533/0001-90,25291,"MANGUEIR TRIPLICE 1,75M",47,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UN,290,290,29,29
08.467.533/0001-90,33298,"MANIPULO BAQUELITE (ODONTO) AHMC5",48,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,PÇA,1970,1445,394,289
08.467.533/0001-90,33299,"MOLA HELIC. CILINDRICA  KAVO",49,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",40,UNI,240,234,6,5.85
08.467.533/0001-90,33300,"PALHETA MICRO MOTOR KAVO",50,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",40,UNI,560,552,14,13.8
08.467.533/0001-90,33301,"PALHETA DO MICRO MOTOR DABI",51,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",15,UNI,210,207,14,13.8
08.467.533/0001-90,34952,"PROTETOR D LAMPADA REFLETOR OLSEN",52,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UNI,96,90,48,45
08.467.533/0001-90,33302,"PLACA ELETRONICA CADEIRA SYNCRUS GL PAD",53,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,1320,1305,440,435
08.467.533/0001-90,33303,"PLACA ELETRONICA ENCODER ENCOSTO",54,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,219,210,73,70
08.467.533/0001-90,33304,"PONTEIRA SUGADOR PADRAO",55,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,108,100,27,25
08.467.533/0001-90,34953,"PLACA FONTE EMITTER A",56,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UNI,250,244,125,122
08.467.533/0001-90,34954,"PONTA PERIO SUB DABI ATLANTE",57,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UN,408,400,204,200
08.467.533/0001-90,34955,"PAINEL DE ABS QUADRA 21",58,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UNI,376,368,188,184
08.467.533/0001-90,34956,"PONTEIRA POLIM.FIBRA OTICA DI08D",59,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UNI,596,580,298,290
08.467.533/0001-90,33305,"PRESSOSTATO 80/120 PSI",60,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,297,285,99,95
08.467.533/0001-90,33306,"REGISTRO LONGO DE AGUA COMPLETO OLSEN",61,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UNI,282,270,94,90
08.467.533/0001-90,25445,"Resistencia tipo W AISI 304 -220V (AHMC5) IN",62,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",3,UN,744,732,248,244
08.467.533/0001-90,33308,"RESISTENCIA VT/VTP 21 220V C/02",63,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UNI,910,895,182,179
08.467.533/0001-90,33309,"ROLAMENTO CERAMICO ARO DABI",64,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UNI,820,800,82,80
08.467.533/0001-90,33310,"ROLAMENTO CONTRA ANGULO DABI",65,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UNI,820,800,82,80
08.467.533/0001-90,33311,"ROLAMENTO ESF. AÇO INOX CARGA RADIAL (A.R)",66,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UNI,820,800,82,80
08.467.533/0001-90,33312,"ROLAMENTO ESF. ACO INOX CARGA RADIAL (C.A)",67,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UNI,820,800,82,80
08.467.533/0001-90,33313,"ROTOR DE REPOSICAO (KAVO)",68,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UNI,3220,3190,322,319
08.467.533/0001-90,33314,"SERINGA TRIPLCE GNATUS COM MANGUEIRA",69,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UNI,1520,1500,304,300
08.467.533/0001-90,34957,"S/C SUPORTE PONTAS II ARO/VENTURI CZ GNATUS",70,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",7,UNI,945,931,135,133
08.467.533/0001-90,28341,"TURBINA ARO MS-350/MSL-350-PB",71,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UN,1590,1575,318,315
08.467.533/0001-90,34958,"VALV. INTERRUPTORA EQUIPO SYNCRUS",72,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",7,UNI,756,728,108,104
