cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
05.850.947/0001-05,0,,1,"MARCELO GOMES & CIA LTDA",2,,5.9,5.78,2.95,2.89
05.850.947/0001-05,0,,2,"MARCELO GOMES & CIA LTDA",1,,19.9,19.7,19.9,19.7
05.850.947/0001-05,0,,3,"MARCELO GOMES & CIA LTDA",100,,50,48,0.5,0.48
05.850.947/0001-05,0,,4,"MARCELO GOMES & CIA LTDA",15,,246,243,16.4,16.2
05.850.947/0001-05,0,,5,"MARCELO GOMES & CIA LTDA",30,,147.9,145.5,4.93,4.85
05.850.947/0001-05,0,,6,"MARCELO GOMES & CIA LTDA",2,,119,117.8,59.5,58.9
05.850.947/0001-05,0,,7,"MARCELO GOMES & CIA LTDA",30,,201,196.5,6.7,6.55
05.850.947/0001-05,0,,8,"MARCELO GOMES & CIA LTDA",15,,72.75,72,4.85,4.8
05.850.947/0001-05,0,,9,"MARCELO GOMES & CIA LTDA",15,,58.5,57.75,3.9,3.85
05.850.947/0001-05,0,,10,"MARCELO GOMES & CIA LTDA",15,,62.25,61.5,4.15,4.1
05.850.947/0001-05,0,,11,"MARCELO GOMES & CIA LTDA",15,,52.5,51.75,3.5,3.45
05.850.947/0001-05,0,,12,"MARCELO GOMES & CIA LTDA",15,,58.5,57.75,3.9,3.85
05.850.947/0001-05,0,,13,"MARCELO GOMES & CIA LTDA",15,,133.5,131.85,8.9,8.79
05.850.947/0001-05,0,,14,"MARCELO GOMES & CIA LTDA",80,,156,151.2,1.95,1.89
05.850.947/0001-05,0,,15,"MARCELO GOMES & CIA LTDA",10,,235,233,23.5,23.3
05.850.947/0001-05,0,,16,"MARCELO GOMES & CIA LTDA",20,,196,189,9.8,9.45
05.850.947/0001-05,0,,17,"MARCELO GOMES & CIA LTDA",15,,432,429.75,28.8,28.65
05.850.947/0001-05,0,,18,"MARCELO GOMES & CIA LTDA",7,,188.3,184.1,26.9,26.3
05.850.947/0001-05,0,,19,"MARCELO GOMES & CIA LTDA",5,,119,117.5,23.8,23.5
05.850.947/0001-05,0,,20,"MARCELO GOMES & CIA LTDA",5,,119,117.5,23.8,23.5
05.850.947/0001-05,0,,21,"MARCELO GOMES & CIA LTDA",5,,119,117.5,23.8,23.5
05.850.947/0001-05,0,,22,"MARCELO GOMES & CIA LTDA",1,,98.8,97.5,98.8,97.5
05.850.947/0001-05,0,,23,"MARCELO GOMES & CIA LTDA",18,,322.2,315,17.9,17.5
05.850.947/0001-05,0,,24,"MARCELO GOMES & CIA LTDA",3,,32.7,31.5,10.9,10.5
05.850.947/0001-05,0,,25,"MARCELO GOMES & CIA LTDA",3,,47.7,44.7,15.9,14.9
05.850.947/0001-05,0,,26,"MARCELO GOMES & CIA LTDA",300,,165,150,0.55,0.5
05.850.947/0001-05,0,,27,"MARCELO GOMES & CIA LTDA",7,,164.99,161,23.57,23
05.850.947/0001-05,0,,28,"MARCELO GOMES & CIA LTDA",7,,170.8,161,24.4,23
05.850.947/0001-05,0,,29,"MARCELO GOMES & CIA LTDA",20,,696,676,34.8,33.8
05.850.947/0001-05,0,,30,"MARCELO GOMES & CIA LTDA",3,,194.7,191.4,64.9,63.8
05.850.947/0001-05,0,,31,"MARCELO GOMES & CIA LTDA",20,,478,470,23.9,23.5
05.850.947/0001-05,0,,32,"MARCELO GOMES & CIA LTDA",15,,133.5,118.5,8.9,7.9
05.850.947/0001-05,0,,33,"MARCELO GOMES & CIA LTDA",4,,35.2,33.6,8.8,8.4
05.850.947/0001-05,0,,34,"MARCELO GOMES & CIA LTDA",30,,651,639,21.7,21.3
05.850.947/0001-05,0,,35,"MARCELO GOMES & CIA LTDA",36,,522,511.2,14.5,14.2
05.850.947/0001-05,0,,36,"MARCELO GOMES & CIA LTDA",7,,101.5,99.4,14.5,14.2
05.850.947/0001-05,0,,37,"MARCELO GOMES & CIA LTDA",15,,433.5,420,28.9,28
05.850.947/0001-05,0,,38,"MARCELO GOMES & CIA LTDA",30,,203.1,195,6.77,6.5
05.850.947/0001-05,0,,39,"MARCELO GOMES & CIA LTDA",5,,122,114.5,24.4,22.9
05.850.947/0001-05,0,,40,"MARCELO GOMES & CIA LTDA",5,,122,114.5,24.4,22.9
05.850.947/0001-05,0,,41,"MARCELO GOMES & CIA LTDA",5,,109.5,105,21.9,21
05.850.947/0001-05,0,,42,"MARCELO GOMES & CIA LTDA",3,,65.7,63,21.9,21
05.850.947/0001-05,0,,43,"MARCELO GOMES & CIA LTDA",3,,65.7,63,21.9,21
05.850.947/0001-05,0,,44,"MARCELO GOMES & CIA LTDA",3,,65.7,63,21.9,21
05.850.947/0001-05,0,,45,"MARCELO GOMES & CIA LTDA",3,,65.7,63,21.9,21
05.850.947/0001-05,0,,46,"MARCELO GOMES & CIA LTDA",30,,39,37.5,1.3,1.25
05.850.947/0001-05,0,,47,"MARCELO GOMES & CIA LTDA",30,,30,29.4,1,0.98
05.850.947/0001-05,0,,48,"MARCELO GOMES & CIA LTDA",250,,337.5,322.5,1.35,1.29
