cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
04.972.064/0002-96,10361979,"Cilindro com pistão Æ 38mm",1,"SS FERRAGENS LTDA - EPP",3,UND,1134.72,1100.67,378.24,366.89
04.972.064/0002-96,10101418,VIRABREQUIM,2,"SS FERRAGENS LTDA - EPP",2,UND,638,615.66,319,307.83
04.972.064/0002-96,230203355,"CARBURADOR C1S-S3E",3,"SS FERRAGENS LTDA - EPP",2,UND,427.16,415.18,213.58,207.59
04.972.064/0002-96,10301249,"Jogo de juntas de vedação",4,"SS FERRAGENS LTDA - EPP",2,UND,49.94,48.44,24.97,24.22
04.972.064/0002-96,10371997,"Transmissão completa",5,"SS FERRAGENS LTDA - EPP",5,UND,2055,1993.35,411,398.67
04.972.064/0002-96,230203357,"ROLAMENTO DE ESFERAS 6001-Z",6,"SS FERRAGENS LTDA - EPP",5,UND,208.7,204.5,41.74,40.9
04.972.064/0002-96,230204365,"Rolamento de esferas 6000",7,"SS FERRAGENS LTDA - EPP",5,UND,114.75,112.45,22.95,22.49
04.972.064/0002-96,230204366,"Rolamento de esferas 6002-2RS",8,"SS FERRAGENS LTDA - EPP",2,UND,65.12,63.8,32.56,31.9
04.972.064/0002-96,230204367,"Rolamento de esferas 6001",9,"SS FERRAGENS LTDA - EPP",2,UND,89.36,87.56,44.68,43.78
04.972.064/0002-96,230203358,"CARCAÇA DE ENGRENAGEM",10,"SS FERRAGENS LTDA - EPP",2,UND,251.1,231.38,125.55,115.69
04.972.064/0002-96,230204368,"Jogo de pinhões",11,"SS FERRAGENS LTDA - EPP",5,UND,1007.7,944.2,201.54,188.84
04.972.064/0002-96,230204369,"Rolamento de esferas 6201",12,"SS FERRAGENS LTDA - EPP",7,UND,167.65,164.29,23.95,23.47
04.972.064/0002-96,230203359,"RETENTOR 12X12X5",13,"SS FERRAGENS LTDA - EPP",2,UND,45.38,44.24,22.69,22.12
04.972.064/0002-96,230203360,"RETENTOR 12X32X7",14,"SS FERRAGENS LTDA - EPP",2,UND,24.94,24.3,12.47,12.15
04.972.064/0002-96,10113492,PROTECAO,15,"SS FERRAGENS LTDA - EPP",2,UND,134.64,129.24,67.32,64.62
