cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
06.555.143/0001-46,31609,"Amalgamador Capsular  Digital",1,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",4,UNI,2388,2656,597,664
06.555.143/0001-46,31429,"Afastador de Minessota",3,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",70,UNI,428.4,529.2,6.12,7.56
06.555.143/0001-46,34643,"Alicate Perfurador Ainsworth",4,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,1830,1392.2,91.5,69.61
06.555.143/0001-46,27352,"Aplicador de Dycal- angulado, em aço inox",5,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,112.6,119.2,5.63,5.96
06.555.143/0001-46,33036,"Bandeja para esterelizacao",7,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",150,UN,3718.5,2772,24.79,18.48
06.555.143/0001-46,24238,"Cabo para bisturi nº3",8,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",30,UN,240,264,8,8.8
06.555.143/0001-46,34644,"Compasso Wiliis- Jon",12,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",4,UN,132.68,107.68,33.17,26.92
06.555.143/0001-46,33040,"Cureta dentina (escavador), nº 05 PEQUENA",16,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",30,UN,246,260.7,8.2,8.69
06.555.143/0001-46,31433,"Cureta dentina (escavador)nº20, GRANDE",17,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",30,UNI,315,260.7,10.5,8.69
06.555.143/0001-46,23244,"Descolador cirurgico Molt Nº 09",22,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",30,UNI,1800,1137.6,60,37.92
06.555.143/0001-46,33042,"Espátula Lecron",24,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",15,UN,135,153,9,10.2
06.555.143/0001-46,27357,"Espátula para manipulação de cimento nº72",25,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",50,UN,585,510,11.7,10.2
06.555.143/0001-46,13418,"GRAMPO PARA ISOLAMENTO ABSOLUTO N. 26",27,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",40,UN,385.6,504,9.64,12.6
06.555.143/0001-46,16642,"Grampo inox para isolamento absoluto nº 00",28,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,192.8,252,9.64,12.6
06.555.143/0001-46,17566,"Grampo para isolamento absoluto nº 200",29,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,192.8,252,9.64,12.6
06.555.143/0001-46,21141,"Grampo para isolamento absoluto nº202",30,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,192.8,252,9.64,12.6
06.555.143/0001-46,17567,"Grampo para isolamento absoluto nº 206",31,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,192.8,252,9.64,12.6
06.555.143/0001-46,21142,"Grampo para isolamento absoluto nº207",32,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,192.8,252,9.64,12.6
06.555.143/0001-46,34648,"Grampo  para isolamento nº 210",33,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UNI,192.8,252,9.64,12.6
06.555.143/0001-46,17569,"Grampo para isolamento absoluto nº 211",34,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",20,UN,192.8,252,9.64,12.6
