cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
03.800.317/0001-09,35574,"Foco clínico auxiliar de luz fria (Led), iluminação mínimo d",7,"COINTER MATERIAL MEDICO HOSPITALAR LTDA",2,UN,1570,1070,785,535
58.295.213/0021-11,35572,"Monitor Multiparâmetro com SPO2, ECG, PNI, Temp, Resp",5,"PHILIPS MEDICAL SYSTEMS LTDA",5,UNI,102333.35,82500,20466.67,16500
58.295.213/0021-11,35573,"Desfibrilador / Cardioversor / Monitor/  marcapasso externo",6,"PHILIPS MEDICAL SYSTEMS LTDA",1,UN,38870,25000,38870,25000
71.256.283/0001-85,35580,"Sistema de Digitalização de Imagens Radiográficas (CR - radi",16,"KONICA MINOLTA HEALTHCARE DO BRASIL INDUSTRIA DE EQUIPAMENTOS MEDICOS LTDA",1,CNJ,110000,73800,110000,73800
19.338.456/0001-94,35568,"Cama Fowler infantil",1,"ALFRS INDUSTRIA DE MOVEIS LTDA",4,UNI,7800,6800,1950,1700
19.338.456/0001-94,27345,"Compressor odontológico em ferro fundido",13,"ALFRS INDUSTRIA DE MOVEIS LTDA",1,UN,3548,3200,3548,3200
79.805.263/0001-28,35576,"Maca hospitalar para transporte",9,"KSS COMERCIO E INDUSTRIA DE EQUIPAMENTOS MEDICO LTDA",8,UN,27120,26400,3390,3300
79.805.263/0001-28,35577,"Foco Auxiliar Cirúrgico com Bateria recarregável.",10,"KSS COMERCIO E INDUSTRIA DE EQUIPAMENTOS MEDICO LTDA",1,UN,18000,14000,18000,14000
79.805.263/0001-28,35578,"Suporte de soro em aço inox",11,"KSS COMERCIO E INDUSTRIA DE EQUIPAMENTOS MEDICO LTDA",20,UN,5460,3000,273,150
15.229.902/0001-71,35575,"Laringoscópio iluminação fibra ótica",8,"MCA COMERCIO E ASSISTENCIA TECNICA HOSPITALAR LTDA",5,UN,14950,9250,2990,1850
06.028.137/0002-11,35579,"Ventilador Pulmonar microprocessado pediátrico e adulto com",12,"GETINGE DO BRASIL EQUIPAMENTOS MEDICOS LTDA.",3,UN,149700,149700,49900,49900
