cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
83.157.032/0001-22,INDIVIDUAL," ","itensProposta_130a4398-ecbb-4f8f-aea3-60189457eee0.csv","METROMED MATERIAL MEDICO HOSPITALAR","JEFFERSON MENDES","JEFFERSON MENDES"," "
00.802.002/0001-02,INDIVIDUAL," ","itensProposta_72cc899b-f40e-4aa2-abe8-1504d46dfa0c.csv","ALTERMED MATERIAL MEDICO HOSPITALAR LTDA","PAULO ROBERTO DE OLIVEIRA RUSZCZAK","PAULO ROBERTO DE OLIVEIRA RUSZCZAK"," "
02.315.593/0001-00,INDIVIDUAL," ","itensProposta_a253088a-d666-4f42-8779-163fcf47e187.csv","ORLEANS INFORMATICA LTDA ME","JORGE LUIZ MAZZUCO","JORGE LUIZ MAZZUCO"," "
04.563.256/0001-68,INDIVIDUAL," ","itensProposta_ce629a9f-101f-40eb-94cc-bbb132614686.csv","SUPRIMOVEIS MOBILIARIO CORPORATIVO LTDA",,," "
10.763.524/0001-98,INDIVIDUAL," ","itensProposta_67a767a6-ed82-42b1-aac5-9223d1b2c6ac.csv","QUALYMEDIC - COMERCIO E ASSISTENCIA TECNICA LTDA",,," "
09.251.627/0001-90,INDIVIDUAL," ","itensProposta_8d7c54c5-c628-47d4-a5ea-da76e89c20bf.csv","K.C.R. INDUSTRIA E COMERCIO DE EQUIPAMENTOS EIRELI","VALMOR POSSAMAI PIZZOLO","VALMOR POSSAMAI PIZZOLO"," "
20.132.150/0001-66,INDIVIDUAL," ","itensProposta_ccad9988-be3b-445c-a8cd-53f5949de461.csv","NORMELIA LOTTERMANN EPP","LEANDRO ALBERTO KERBER","LEANDRO ALBERTO KERBER"," "
05.021.932/0001-34,INDIVIDUAL," ","itensProposta_396ea19f-83d3-4522-83b4-50a7737560a7.csv","MF DE ALMEIDA & CIA. LTDA","PABLO CAMARGO SOUZA","PABLO CAMARGO SOUZA"," "
15.825.521/0001-55,INDIVIDUAL," ","itensProposta_706c6bd2-9e1d-477a-9eac-c15634fe341f.csv","EKOMOB COMERCIO LTDA EPP","JONATHAS LIMA DOS SANTOS","JONATHAS LIMA DOS SANTOS"," "
19.338.456/0001-94,INDIVIDUAL," ","itensProposta_b61b5611-20be-43ba-9706-454e0c6d66ec.csv","ALFRS INDUSTRIA DE MOVEIS LTDA","BEATRIZ CECHINEL","BEATRIZ CECHINEL"," "
14.009.437/0001-09,INDIVIDUAL," ","itensProposta_bf567391-3ec6-49d7-a6f9-5f1a7628329f.csv","ROCHA MOVEIS PROJETADOS PARA ESCRITORIO LTDA",,," "
03.800.477/0001-40,INDIVIDUAL," ","itensProposta_d4e29660-0e15-4102-aeb1-d883b91d2fc7.csv","VMLX ELETRONICOS EIRELI",,," "
25.137.947/0001-70,INDIVIDUAL," ","itensProposta_668ed8d3-c22e-47b5-8145-5fab4feca213.csv","AGUAMED IMPORTADORA E EXPORTADORA DE EQUIPAMENTOS HOSPITALARES E ODONTOLOGICOS LTDA","EDUARDS REYNOLDS SOUZA PINTO","EDUARDS REYNOLDS SOUZA PINTO"," "
28.358.842/0001-39,INDIVIDUAL," ","itensProposta_2913a93b-b210-47f0-94ad-6c9bf65c8a2d.csv","TEDA DISTRIBUIDORA LTDA","NADINE ALBERTON VIEIRA","NADINE ALBERTON VIEIRA"," "
28.259.633/0001-38,INDIVIDUAL," ","itensProposta_c3b397d5-3d48-4caa-ab7b-bf0b33550cea.csv","3IP FULL RETAIL LTDA","RENAN SARTOR PIETSCH","RENAN SARTOR PIETSCH"," "
03.928.935/0001-20,INDIVIDUAL," ","itensProposta_538a0bff-d79c-4198-8935-28442f53320f.csv","HAYA INFORMATICA LTDA","ELIOMAR CARLOS CARDOSO","ELIOMAR CARLOS CARDOSO"," "
27.286.283/0001-36,INDIVIDUAL," ","itensProposta_6f73664d-301c-485c-9311-e1c68ddd14b7.csv","VICENTE DEPARTAMENTOS EIRELI",,," "
27.821.705/0001-26,INDIVIDUAL," ","itensProposta_eb67ae7c-6d76-4fbc-bd07-6bd3c7b73c53.csv","TOPCLIMA SISTEMAS DE REFRIGERACAO EIRELI","LEANDRO BARDINI IDALINO","LEANDRO BARDINI IDALINO"," "
58.295.213/0021-11,INDIVIDUAL," ","itensProposta_eae2843a-4dd8-46c7-a77d-a5926bc548f4.csv","PHILIPS MEDICAL SYSTEMS LTDA","FABIANO TORRES","FABIANO TORRES"," "
22.417.394/0001-10,INDIVIDUAL," ","itensProposta_8ff737b0-14c8-4b5c-a899-34e743bb8f05.csv","OSMAR ORLANDI JUNIOR","OSMAR ORLANDI JUNIOR","OSMAR ORLANDI JUNIOR"," "
27.895.281/0001-44,INDIVIDUAL," ","itensProposta_0d7b40e4-bda3-42e9-8775-381388665be4.csv","MV ELETRONICOS EIRELI","VALCIR MOTA","VALCIR MOTA"," "
23.597.822/0003-69,INDIVIDUAL," ","itensProposta_17ad8e7d-11b0-4e1e-859d-9ab12340ec9c.csv","SERRA SAUDE COMERCIO DE EQUIPAMENTOS MEDICOS EIREL","MARCIA RAQUEL SENDESKI DE ANDRADE","MARCIA RAQUEL SENDESKI DE ANDRADE"," "
