cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
00.354.694/0001-65,10306415,"Banheiro quimico",1,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",100,DIA,16000,16000,160,160
00.354.694/0001-65,10375281,"BASE DE PALCO",2,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",2,UND,8400,8000,4200,4000
00.354.694/0001-65,10377562,CADEIRAS,3,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",600,UND,1500,1200,2.5,2
00.354.694/0001-65,10106153,CARPETE,4,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",800,M²DIA,4800,4640,6,5.8
00.354.694/0001-65,10378487,"FECHAMENTO DE LONA, anti chamas, tenda  10x3,50m",5,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",30,DIA,1500,1200,50,40
00.354.694/0001-65,10378488,"FECHAMENTO DE LONA, anti chmas, tenda 3x2,50m",6,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",20,DIA,700,600,35,30
00.354.694/0001-65,10378489,"FECHAMENTO DE LONA, anti chamas, tenda 5x2,50m",7,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",30,DIA,1050,900,35,30
00.354.694/0001-65,10376742,Gradil,8,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",1300,M,13000,11700,10,9
00.354.694/0001-65,50201052,Mesas,9,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",200,UND,1400,1000,7,5
00.354.694/0001-65,10377566,"PALCO COBERTO",10,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",2,UND,16400,15000,8200,7500
00.354.694/0001-65,10377567,PAVILHÃO,11,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",1300,UND,19500,18200,15,14
00.354.694/0001-65,10377568,TABLADO,12,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",1000,UND,8000,7000,8,7
00.354.694/0001-65,10377569,STAND,13,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",800,UND,20000,19200,25,24
00.354.694/0001-65,10376745,"Sonorização médio porte",14,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",5,UND,14000,14000,2800,2800
00.354.694/0001-65,10376746,"Sonorização pequeno porte",15,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",4,UND,4800,4800,1200,1200
00.354.694/0001-65,340100307,"TENDA- 3x3 montagem e desmontagem",16,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",10,UND,3000,2700,300,270
00.354.694/0001-65,340100308,"TENDA-5X5  montagem e desmontagem tenda 10X10m",17,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",30,UND,9600,9000,320,300
00.354.694/0001-65,340100309,"TENDA-10X10  montagem e desmontagem tenda",18,"BROCCAR INDUSTRIA E COMERCIO DE ESTRUTURAS PARA EVENTOS EIRELI",29,UND,21750,17400,750,600
