cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
05.948.061/0001-07,32897,"Água destilada galão de 5 litros para uso em autoclave",2,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",500,GL,4590,2600,9.18,5.2
05.948.061/0001-07,38651,"Almotolia de uso médico-hospitalar Ambar",14,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",200,UN,544,446,2.72,2.23
05.948.061/0001-07,38652,"Almotolia de uso médico-hospitalar Transparente",15,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",500,UN,1360,1075,2.72,2.15
05.948.061/0001-07,36409,"Anuscópio fechado",16,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",50,UN,117,70,2.34,1.4
05.948.061/0001-07,36410,"Anuscópio fenestrado",17,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",50,UN,117,73.5,2.34,1.47
05.948.061/0001-07,38655,"Ataduras de Crepom 12cm",21,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",35000,UN,35700,23100,1.02,0.66
05.948.061/0001-07,38656,"Ataduras de Crepom 15cm",22,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",30000,UN,36000,24900,1.2,0.83
05.948.061/0001-07,38657,"Ataduras de Crepom 20cm",23,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",20000,UN,27600,22200,1.38,1.11
05.948.061/0001-07,36428,"Caixa porta laminas.",30,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",150,UNI,1498.5,712.5,9.99,4.75
05.948.061/0001-07,36449,"Curativo redondo pós-coleta de sangue (Stopper ou bandagem).",60,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",1000,CX,11130,10400,11.13,10.4
05.948.061/0001-07,31673,"Dreno Penrose Esterilizado Nº 1",69,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",200,UNI,340,246,1.7,1.23
