cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
00.456.865/0001-67,10361721,"Contabilidade Pública",1,"BETHA SISTEMAS LTDA",12,MES,8127.72,7200,677.31,600
00.456.865/0001-67,10361715,"Compras e Licitações",2,"BETHA SISTEMAS LTDA",12,MES,4212,4128,351,344
00.456.865/0001-67,10377406,PATRIMÔNIO,3,"BETHA SISTEMAS LTDA",12,MES,3188.16,2640,265.68,220
00.456.865/0001-67,10361737,"Folha de Pagamento",4,"BETHA SISTEMAS LTDA",12,MES,13933.2,11040,1161.1,920
00.456.865/0001-67,10361743,"Recursos Humanos",5,"BETHA SISTEMAS LTDA",12,MES,4992,4320,416,360
00.456.865/0001-67,10361756,Protocolo,6,"BETHA SISTEMAS LTDA",12,MES,3870.36,3240,322.53,270
00.456.865/0001-67,10371873,"Portal da Transparência",7,"BETHA SISTEMAS LTDA",12,MES,20236.8,11880,1686.4,990
00.456.865/0001-67,10377407,"E- SOCIAL",8,"BETHA SISTEMAS LTDA",12,MES,22308,6240,1859,520
00.456.865/0001-67,10377408,"SERVIÇOS DE MIGRAÇÃO, IMPLANTAÇÃO E TREINAMENTO PARA OS USUÁ",9,"BETHA SISTEMAS LTDA",1,SV,7800,6215.73,7800,6215.73
00.456.865/0001-67,10377409,"SERVIÇOS TÉCNICOS, APÓS IMPLANTAÇÃO DOS APLICATIVOS, QUANDO",10,"BETHA SISTEMAS LTDA",120,HORA,13015.2,12747.6,108.46,106.23
