cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
24.586.113/0001-89,10361987,"COLETE EQUILIBRADOR PARA MERGULHO",1,"HASIC DISTRIBUIDORA EIRELI - ME",4,UND,7498.28,5840,1874.57,1460
24.586.113/0001-89,10361989,"CONSOLE TRIPLO COM MANOMETRO - PROFUNDIMETRO E BUSSOLA",6,"HASIC DISTRIBUIDORA EIRELI - ME",12,UND,12925.44,11160,1077.12,930
24.586.113/0001-89,10379324,"COLETE COM CAPUZ PARA MERGULHO 3 MM",9,"HASIC DISTRIBUIDORA EIRELI - ME",20,UND,4182.4,4180,209.12,209
24.586.113/0001-89,340100131,"MEIA EM NEOPRENE 3MM",10,"HASIC DISTRIBUIDORA EIRELI - ME",8,UND,514.08,440,64.26,55
24.586.113/0001-89,340100132,"LUVA PARA MERGULHO",11,"HASIC DISTRIBUIDORA EIRELI - ME",12,UND,924.6,876,77.05,73
24.586.113/0001-89,340100133,"BOTA PARA MERGULHO",12,"HASIC DISTRIBUIDORA EIRELI - ME",20,UND,4022.8,3600,201.14,180
24.586.113/0001-89,10379325,"REGULADOR DE 2o ESTÁGIO COMPACTO + LP 02",13,"HASIC DISTRIBUIDORA EIRELI - ME",12,UND,6202.92,4560,516.91,380
24.586.113/0001-89,340100136,"REGULADOR DE 1° ESTAGIO - PISTÃO SIMPLES",14,"HASIC DISTRIBUIDORA EIRELI - ME",12,UND,10063.2,8160,838.6,680
24.586.113/0001-89,340100139,"SNORKEL PARA MERGULHO EM PVC PRETO E BOCAL EM SILICONE",16,"HASIC DISTRIBUIDORA EIRELI - ME",12,UND,292.2,288,24.35,24
24.586.113/0001-89,340100142,"KIT DIVE TOOL DE INOX",18,"HASIC DISTRIBUIDORA EIRELI - ME",2,UND,239.5,200,119.75,100
24.586.113/0001-89,340100143,"CINTO PARA LASTRO COM FIVELA EM INOX",19,"HASIC DISTRIBUIDORA EIRELI - ME",12,UND,435.12,360,36.26,30
24.586.113/0001-89,340100144,"MASCARA PARA MERGULHO LENTE FRONTAL E VISAO LATERAL",20,"HASIC DISTRIBUIDORA EIRELI - ME",16,UND,2968.48,2880,185.53,180
24.586.113/0001-89,340100149,"CILINDRO PARA MERGULHO COM TORNEIRA",21,"HASIC DISTRIBUIDORA EIRELI - ME",12,UND,21765.6,21600,1813.8,1800
24.586.113/0001-89,340100150,"LASTRO EMBORRACHADO DE 2 KG",22,"HASIC DISTRIBUIDORA EIRELI - ME",40,UND,3093.2,3080,77.33,77
10.892.922/0001-04,10379320,"FACA PARA MERGULHO COM LÂMINA DE APROXIMADAMENTE 8,5 CM",2,"J. M. ESPORTES LTDA",6,UND,462.54,504,77.09,84
10.892.922/0001-04,10379321,"FACA PARA MERGULHO COM LÂMINA DE APROXIMADAMENTE 10 CM",3,"J. M. ESPORTES LTDA",6,UND,548.04,548.04,91.34,91.34
10.892.922/0001-04,10379322,"LANTERNA PARA MERGULHO",5,"J. M. ESPORTES LTDA",4,UND,1149.12,1540,287.28,385
10.892.922/0001-04,10379323,"NADADEIRA ABERTA PARA MERGULHO",7,"J. M. ESPORTES LTDA",6,UND,1230.9,1230.9,205.15,205.15
10.892.922/0001-04,80200093,"NADADEIRA  PARA MERGULHO",8,"J. M. ESPORTES LTDA",20,UND,3386.4,4140,169.32,207
10.892.922/0001-04,340100140,"BOLSA PARA MERGULHO",17,"J. M. ESPORTES LTDA",16,UND,2528.96,1920,158.06,120
10.892.922/0001-04,10379328,"BOTA DE BORRACHA PARA PROTEÇÃO DE CILINDRO S80",24,"J. M. ESPORTES LTDA",20,UND,1466.6,1460,73.33,73
