cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
08.467.533/0001-90,33334,"Cabo flexivel 2 x 0,20mm RCA emborrachado",10,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",30,MT,310.8,294,10.36,9.8
08.467.533/0001-90,37644,"Vibra stop micro 1/4 c/ ventosa",14,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",12,UN,157.8,152.4,13.15,12.7
08.467.533/0001-90,37649,"Lâmpada 12V / 30W - Ref. 64260",21,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UN,1497.6,1420,374.4,355
08.467.533/0001-90,37652,"Bateria recarregável de NICAD 3,5V para otoscópio modelo 723",31,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UN,840,754,420,377
08.467.533/0001-90,35458,"Potenciômetro de fio para Otoscópio TK",32,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UNI,589,530,58.9,53
08.467.533/0001-90,35460,"Lâmpada infravermelho 220 V - 150 W para fisioterapia",36,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,624,556,156,139
08.467.533/0001-90,35461,"Guarnição de silicone para Autoclave Quadra 21, Cristófoli",37,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UNI,233,198,116.5,99
08.467.533/0001-90,35462,"Pino para Selo Segurança, Cristofoli",38,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UNI,9.6,8.6,4.8,4.3
08.467.533/0001-90,35463,"Selo segurança para porta, Cristófoli",39,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UNI,80,72,20,18
08.467.533/0001-90,35464,"Pino anti vacuo, Cristófoli",40,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UNI,50,45.8,25,22.9
08.467.533/0001-90,37655,"Manipulo 1/4X50 para suporte de soro",43,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",20,UN,177,168,8.85,8.4
08.467.533/0001-90,37658,"Manipulo 3,8X50 para maca ginecológica",46,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",20,UN,195,185,9.75,9.25
08.467.533/0001-90,37660,"Bocal para lâmpada dicroica 240V - 3A",49,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UN,164,157.5,16.4,15.75
08.467.533/0001-90,37661,"Transformador 110/220V - 12+12V - 500mA",50,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UN,312,275,62.4,55
08.467.533/0001-90,37667,"Conjunto completo manopla para autoclave horizontal da Sterm",56,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",1,UN,222.3,210,222.3,210
08.467.533/0001-90,37668,"kit de válvula superior para autoclave modelos 30 a 75L AHA",57,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UN,468,434,234,217
08.467.533/0001-90,37672,"Dobradiça borboleta em aço cromado",61,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",4,UN,31.2,29.4,7.8,7.35
08.467.533/0001-90,37676,"Bocal de porcelana 220V E-27",65,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",10,UN,130,123,13,12.3
08.467.533/0001-90,37677,"Rolamento 6200",66,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",6,UN,234,210,39,35
08.467.533/0001-90,37679,"Plug 2P+T 10A 250V",68,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",20,UN,240,220,12,11
08.467.533/0001-90,37683,"Alto falante 8 ohms - 5W",72,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UN,40,37,20,18.5
08.467.533/0001-90,37688,"Trinco com castanha cromado para estufa",77,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,UN,81.08,77,40.54,38.5
08.467.533/0001-90,37692,"Lã de vidro 200/38mm densidade 12kg/m3",81,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",2,M2,104,93,52,46.5
08.467.533/0001-90,37693,"Manômetro 1/8 BSP 0 a 4 kgF/cm2 para autoclave",82,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",1,UN,130,120,130,120
08.467.533/0001-90,37702,"Suporte para 2 pilhas AA com fio",91,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",6,UN,34.2,30.9,5.7,5.15
08.467.533/0001-90,37711,"Capacitor 10uF 400V 5% (usado em partida de motor elétrico)",100,"ODONTOCRIL COM. DE EQUIP. MED. ODONTOLOGICOS EIREL",5,UN,100,90,20,18
