cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
03.968.926/0001-63,32922,"Coletor Infantil com furo recortado, unissex, com furo oval",8,"MASIF ARTIGOS MEDICOS E HOSPITALARES LTDA",6000,UNI,4800,1140,0.8,0.19
03.968.926/0001-63,36525,"Seringa 60ml, sem agulha",28,"MASIF ARTIGOS MEDICOS E HOSPITALARES LTDA",500,UN,1275,680,2.55,1.36
05.948.061/0001-07,28512,"Agulhas hipodérmicas 13mmX4,5mm",2,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",250,CX,1807.5,1312.5,7.23,5.25
05.948.061/0001-07,31629,"Almotolia de uso médico-hospitalar",5,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",600,UNI,1860,1206,3.1,2.01
05.948.061/0001-07,18394,"Cateter  para Oxigênio Tipo Óculos nº12 ( Adulto )",6,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",1500,UN,1770,1020,1.18,0.68
05.948.061/0001-07,31702,"Fixador Citológico, 40ml",15,"ISAMED - MATERIAIS MEDICOS HOPITALARES LTDA",1500,FR.,9300,3975,6.2,2.65
06.555.143/0001-46,38021,"Dispositivo para incontinência Urinária Masculina Nº 05 sem",9,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",2000,UN,2360,1540,1.18,0.77
06.555.143/0001-46,38022,"Dispositivo para incontinência Urinária Masculina Nº06 sem e",10,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",3000,UN,3540,2310,1.18,0.77
06.555.143/0001-46,31725,"Lâmina de Preventivo (Ponta Fosca).",21,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",400,CXA,1516,1448,3.79,3.62
06.555.143/0001-46,32991,"Máscaras Cirúrgicas Facial Descartável",22,"TRADE MEDICAL COM DE MAT HOSPITALARES LTDA",150,CX,885,670.5,5.9,4.47
05.021.932/0001-34,36473,"Especulo vaginal, descartável, estéril, sem lubrificação G",13,"MF DE ALMEIDA & CIA. LTDA",2000,UN,2560,1960,1.28,0.98
05.021.932/0001-34,31714,"Hipoclorito de sódio 1%.",17,"MF DE ALMEIDA & CIA. LTDA",2000,L,16400,3700,8.2,1.85
01.470.743/0001-98,36499,"Kit citologia - 01 escova endocervical + 01 espátula de aire",18,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",20000,UN,10000,7200,0.5,0.36
01.470.743/0001-98,36522,"Seringa 3ml, sem agulha",26,"BLUMEDICA PRODUTOS MEDICOS E CIRURGICOS LTDA",30000,UN,6000,3570,0.2,0.119
18.712.730/0001-80,38267,"Agua oxigenada 10% (peróxido de hidrogênio).",1,"MAYCON WILL EIRELI - ME",600,UNI,4320,2304,7.2,3.84
18.712.730/0001-80,10383531,"Álcool etílico 70° antisséptico",3,"MAYCON WILL EIRELI - ME",1000,FRA,5100,3860,5.1,3.86
11.776.334/0001-78,31679,"Equipo para nutrição enteral.",11,"DENTAL SHOW - COMERCIO DE PRODUTOS ODONTOLOGICOS E",15000,UNI,22500,12450,1.5,0.83
11.776.334/0001-78,36472,"Especulo vaginal, descartável, estéril, sem lubrificação M",12,"DENTAL SHOW - COMERCIO DE PRODUTOS ODONTOLOGICOS E",18000,UN,23040,14580,1.28,0.81
25.463.374/0001-74,31628,"Algodão Hidrófilo, 100%.",4,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",300,ROLO,3675,2820,12.25,9.4
25.463.374/0001-74,31650,"Cadarço sarjado",7,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",30,ROLO,1133.1,586.5,37.77,19.55
25.463.374/0001-74,36474,"Especulo vaginal, descartável, estéril, sem lubrificação P",14,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",18000,UN,23040,12960,1.28,0.72
25.463.374/0001-74,32962,"Frasco para nutrição enteral capacidade 300mL",16,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",18000,UNI,22680,12240,1.26,0.68
25.463.374/0001-74,31718,"Kit de nebulização adulto",19,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",200,UN,1158,932,5.79,4.66
25.463.374/0001-74,31719,"Kit de nebulização infantil.",20,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",200,UN,1158,904,5.79,4.52
25.463.374/0001-74,12342,"oleo de girassol",23,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",2000,UN,11000,6600,5.5,3.3
25.463.374/0001-74,32995,"Pinça Cheron descartável, em polietileno cristal ou cor bran",24,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",1500,UNI,1710,1140,1.14,0.76
25.463.374/0001-74,32715,"Seringa 20ml, sem agulha",25,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",20000,UNI,10000,7200,0.5,0.36
25.463.374/0001-74,36524,"Seringa 1ml, sem agulha",27,"MEDEFE PRODUTOS MEDICO- HOSPITALARES LTDA",5000,UN,850,600,0.17,0.12
