cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
79.382.412/0001-93,INDIVIDUAL," ","itensProposta_ea463e1d-0528-4f07-a076-c344ce909541.csv","CONSTRUTORA NUNES LTDA",,," "
02.698.965/0001-25,INDIVIDUAL," ","itensProposta_042a0ed6-6daa-4786-b98b-42bbb4fb6806.csv","FECEL ENGENHARIA E CONSTRUCOES LTDA",,," "
10.599.044/0001-33,INDIVIDUAL," ","itensProposta_82a78df1-d011-42e1-b571-64b5186ee50f.csv","CONSONI CONSTRUCOES LTDA",,," "
18.067.852/0001-61,INDIVIDUAL," "," ","CSK2 PRESTADORA DE SERVICO LTDA",,," "
10.607.931/0001-06,INDIVIDUAL," ","itensProposta_492480e0-f6ab-4dd3-ad83-96478f6640c4.csv","KAMILLA CONSTRUCOES E PROJETOS LTDA",,," "
27.887.077/0001-81,INDIVIDUAL," ","itensProposta_de91d1c2-2471-4b92-ad7e-fe669da428cc.csv","MR ADMINISTRACAO DE OBRAS LTDA","RAMON RABELO CARVELHO","RAMON RABELO CARVELHO"," "
17.861.674/0001-83,INDIVIDUAL," ","itensProposta_ecf68f11-56b8-4285-80bb-715661e6ca59.csv","KAMIG ENGENHARIA LTDA.",,," "
26.953.962/0001-59,INDIVIDUAL," ","itensProposta_3eb5cb49-c16b-44ca-bcf0-a479beda4e39.csv","SUL CONSTRUCOES E PROJETOS LTDA.","LEO CHARLES DA LUZ","LEO CHARLES DA LUZ"," "
30.958.155/0001-04,INDIVIDUAL," ","itensProposta_59fb3ea4-2fd8-4737-a5c7-ade78c8ca098.csv","KF ENGENHARIA LTDA",,," "
72.381.015/0001-58,INDIVIDUAL," ","itensProposta_a375de46-7cf4-4ecc-98d8-8a6a23913bf1.csv","REDIL CONSTRUTORA LIMITADA","JOSE TEIXEIRA REOS","JOSE TEIXEIRA REOS"," "
