cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
02.341.788/0001-25,10383626,"Alentador de mistura de base",1,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",1,UND,3850,3501.86,3850,3501.86
02.341.788/0001-25,10383627,"Bomba óleo queimador secador",2,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",3,UND,3513.99,3195.69,1171.33,1065.23
02.341.788/0001-25,10383628,"Caixa condulete ¾",3,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",100,UND,403,362,4.03,3.62
02.341.788/0001-25,10380259,"CHAVE TRIPOLAR 15A",4,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",10,UND,323.3,294.4,32.33,29.44
02.341.788/0001-25,340100804,"Conj. Filtro e lubrificador pneumático ¼",5,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",4,UND,605.32,550.52,151.33,137.63
02.341.788/0001-25,10383629,"Contator 3rt 1015 24v",6,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",3,UND,944.01,858.63,314.67,286.21
02.341.788/0001-25,10383630,"Contator 3rt10-25 380v",7,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",3,UND,546,496.8,182,165.6
02.341.788/0001-25,10383631,"Correia 13x0895",8,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",20,UND,640,581,32,29.05
02.341.788/0001-25,10383632,"Correia 13x1325",9,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",20,UND,766.6,696.4,38.33,34.82
02.341.788/0001-25,10383633,"Correia c122",10,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",20,UND,1277.4,1162,63.87,58.1
02.341.788/0001-25,10383634,"Corrente elevador carreg. Asfalto",11,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",14,UND,9314.62,8468.6,665.33,604.9
02.341.788/0001-25,10383635,"Dimer dilm65220v",12,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",2,UND,916.66,831.44,458.33,415.72
02.341.788/0001-25,10383636,"Disjuntor motor elétrico 90A a120A",13,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",3,UND,1235.01,1124.52,411.67,374.84
02.341.788/0001-25,10383637,"Eixo de encaixe estriado com tratamento térmico suporte seca",14,"GAMAPE COM. DE PECAS, FERRAMENTAS E SERVIÇOS LTDA",1,UND,7800,7095.66,7800,7095.66
