ano,numero,dataEmissao,tipo,nomeCredor,valor
2021,6742,2021-10-18,Empenhar,"SPARTA LOGISTICA LTDA",17914.4
2021,6743,2021-10-18,Empenhar,"BENVOAR BALONISMO E ENTRETENIMENTO LTDA",21500
2021,6748,2021-10-18,Empenhar,"SCAR REEF ENTRETENIMENTO EIRELI",29600
2021,6836,2021-10-26,Empenhar,"SPARTA LOGISTICA LTDA",1998.22
2021,7014,2021-10-29,Empenhar,"TODAH EVENTOS LTDA - ME",3773.04
2021,7015,2021-10-29,Empenhar,"SPARTA LOGISTICA LTDA",77351.7
2021,7016,2021-10-29,Empenhar,"SCAR REEF ENTRETENIMENTO EIRELI",61400
2021,7130,2021-11-03,Empenhar,"SPARTA LOGISTICA LTDA",11989.33
2021,7131,2021-11-03,Empenhar,"SPARTA LOGISTICA LTDA",16185.58
2021,7308,2021-11-11,Empenhar,"SPARTA LOGISTICA LTDA",51234.94
2021,7316,2021-11-11,Empenhar,"BENVOAR BALONISMO E ENTRETENIMENTO LTDA",25800
2021,7425,2021-11-19,Empenhar,"SPARTA LOGISTICA LTDA",2158.17
2021,7442,2021-11-22,Empenhar,"SCAR REEF ENTRETENIMENTO EIRELI",35500
2021,7523,2021-11-26,Empenhar,"TODAH EVENTOS LTDA - ME",11120.56
2021,7949,2021-12-02,Empenhar,"SPARTA LOGISTICA LTDA",2098.06
2022,88,2022-01-03,Empenhar,"SPARTA LOGISTICA LTDA",91544.04
2022,246,2022-01-12,Empenhar,"TODAH EVENTOS LTDA - ME",4666.66
2022,1037,2022-02-02,Empenhar,"SCAR REEF ENTRETENIMENTO EIRELI",31500
2022,1195,2022-02-10,Empenhar,"SPARTA LOGISTICA LTDA",3626.81
