cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
30.490.772/0001-10,32026,"Módulo de carboidratos para dieta enteral e oral tendo como",13,"LIFECENTER COMERCIO DE PRODUTOS PARA SAUDE EIRELI",36,LAT,981,975.6,27.25,27.1
30.490.772/0001-10,3401020368,"Nutrição enteral, em pó, à base de proteína isolada de soja, nutricionalmente completa, normocalórica na diluição padrão",14,"LIFECENTER COMERCIO DE PRODUTOS PARA SAUDE EIRELI",300,LAT,22200,16830,74,56.1
30.490.772/0001-10,3401020371,"Módulo de lipídios para nutrição enteral e oral, Fonte de Triglicerídeos de Cadeia Média",18,"LIFECENTER COMERCIO DE PRODUTOS PARA SAUDE EIRELI",54,FR,2178.9,2178.9,40.35,40.35
30.490.772/0001-10,3401020372,"Módulo de proteína para uso oral ou enteral. 100% proteína do soro do leite apresentando 97% VCT de proteína, o equivalente a 87g de Proteína do Soro do Leite em 100g do produto",19,"LIFECENTER COMERCIO DE PRODUTOS PARA SAUDE EIRELI",2600,LAT,267228,152620,102.78,58.7
30.490.772/0001-10,3401020374,"Suplemento nutricional oral, normocalórico, hiperproteico.",21,"LIFECENTER COMERCIO DE PRODUTOS PARA SAUDE EIRELI",3000,LAT,140280,101100,46.76,33.7
05.912.018/0001-83,3401020328,"Dieta Nutricional completa em pó, para nutrição enteral e oral, desenvolvida para crianças de 1 a 10 anos, sabor neutro ou baunilha.",4,"MERCO SOLUÇÕES EM SAÚDE S.A.",2400,LAT,81600,60168,34,25.07
05.912.018/0001-83,3401020330,"Espessante a base de amido de milho modificado ou maltodextrina, adicionado de gomas alimentares.",6,"MERCO SOLUÇÕES EM SAÚDE S.A.",720,LAT,58946.4,22543.2,81.87,31.31
09.148.034/0001-00,3401020373,"Suplemento hiperproteíco para uso oral ou enteral, 100% proteína do soro do leite, com nutrientes específicos: no mínimo 15% de arginina",20,"CENC CENTRO EXCELENCIA NUTRICAO CLINICA LTDA",3400,LAT,830178,830178,244.17,244.17
03.612.312/0004-97,40712,"Nutrison Energy Multi Fiber 1,5kcal TP 1000 mL",2,"NUTRIPORT COMERCIAL LTDA",450,FR.,17325,17100,38.5,38
03.612.312/0004-97,3401020327,"Formula Infantil para lactentes e de segmento para lactentes e crianças de primeira infância, hipercalórica, destinada a necessidades dietoterápicas especificas com 1 kcal/ml",3,"NUTRIPORT COMERCIAL LTDA",150,LAT,20124,20100,134.16,134
03.612.312/0004-97,3401020329,"Dieta Semi-elementar e hipoalergênica a base de 100% proteína extensamente hidrolisada de soro de leite.",5,"NUTRIPORT COMERCIAL LTDA",2200,LAT,199760,188540,90.8,85.7
03.612.312/0004-97,3401020331,"Formula elementar a base de 100% de aminoácidos livres, 100% de maltodextrina e 100% de lipídios de origem vegetal, nutricionalmente completa, para crianças de 1 a 10 anos",7,"NUTRIPORT COMERCIAL LTDA",250,LAT,47260,36665,189.04,146.66
03.612.312/0004-97,3401020334,"Formula Infantil para lactentes até 6 meses, em pó à base de leite de vaca.",10,"NUTRIPORT COMERCIAL LTDA",1500,LAT,61500,42375,41,28.25
03.612.312/0004-97,10371432,"FÓRMULA INFANTIL PARA LACTENTES",16,"NUTRIPORT COMERCIAL LTDA",800,KG,70112,69600,87.64,87
03.612.312/0004-97,3401020370,"Suplemento alimentar infantil, hipercalórico, desenvolvido para crianças até 10 anos.",17,"NUTRIPORT COMERCIAL LTDA",1200,LAT,58764,37488,48.97,31.24
09.944.371/0001-04,3401020326,"Alimento para Lactentes menores de 1 ano de idade com intolerância á Lactose",1,"Sulmedic Comércio de Medicamentos Ltda",96,LAT,3086.4,2076.48,32.15,21.63
09.944.371/0001-04,3401020332,"Fórmula Infantil de segmento, á base de leite de vaca, com nutrientes adequado para lactentes a partir do 6º mês de vida.",8,"Sulmedic Comércio de Medicamentos Ltda",500,LAT,20895,13710,41.79,27.42
09.944.371/0001-04,3401020333,"Formula Infantil de segmento, a base de proteínas isolada de soja, isento de lactose, para o segundo semestre de vida.",9,"Sulmedic Comércio de Medicamentos Ltda",60,LAT,2764.8,1899.6,46.08,31.66
09.944.371/0001-04,3401020336,"Fórmula infantil para recém-nascidos pré-termo e/ou de alto risco em pó. Com adição de DHA e ARA, vitaminas e minerais.",12,"Sulmedic Comércio de Medicamentos Ltda",72,LAT,3294,2057.76,45.75,28.58
09.944.371/0001-04,3401020369,"Formula para lactentes que apresentem regurgitação e/ou refluxo gastroesofágico",15,"Sulmedic Comércio de Medicamentos Ltda",250,LAT,10702.5,8267.5,42.81,33.07
26.325.797/0001-90,3401020375,"Módulo de fibras alimentares módulo de fibras solúveis/ insolúveis, para nutrição oral ou enteral",22,"EREMIX INDUSTRIA DE ALIMENTOS ESPECIAIS LTDA",960,LAT,56265.6,36480,58.61,38
