ano,cnpjCpfContratado,dataAssinatura,dataVigenciaFinal,dataVigenciaInicial,nomeContratado,nomeEntidade,numero,objeto,situacao,valor
2023,44.042.538/0001-34,2023-01-13,2023-12-31,2023-01-13,"4INFO LTDA","PREFEITURA MUNICIPAL DE CRICIÚMA",9,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",3935240.98
2023,16.679.319/0001-25,2023-01-13,2023-12-31,2023-01-13,"APICEBR COMERCIAL EIRELI","PREFEITURA MUNICIPAL DE CRICIÚMA",10,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",54735
2023,12.072.475/0001-72,2023-01-13,2023-12-31,2023-01-13,"GF COMERCIO E SERVICO DE EQUIPAMENTOS DE SEGURANCA LTDA","PREFEITURA MUNICIPAL DE CRICIÚMA",11,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",197112
2023,06.635.187/0001-86,2023-01-13,2023-12-31,2023-01-13,"HARLEY DE AGUIAR JUNIOR EIRELI","PREFEITURA MUNICIPAL DE CRICIÚMA",12,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",97020
2023,05.654.373/0001-08,2023-01-13,2023-12-31,2023-01-13,"IDEAL - INDUSTRIA DE MAQUINAS INDUSTRIAIS, IMPORTACAO E EXPORTACAO - EIRELI","PREFEITURA MUNICIPAL DE CRICIÚMA",13,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",432795
2023,24.608.949/0001-37,2023-01-13,2023-12-31,2023-01-13,"J&A SOLUÇÕES E-COMMERCE LTDA","PREFEITURA MUNICIPAL DE CRICIÚMA",14,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",4800
2023,27.830.943/0001-06,2023-01-13,2023-12-31,2023-01-13,"LAURETH IMPORTS LTDA","PREFEITURA MUNICIPAL DE CRICIÚMA",16,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",231470
2023,01.590.728/0002-64,2023-01-13,2023-12-31,2023-01-13,"MICROTÉCNICA INFORMÁTICA LTDA","PREFEITURA MUNICIPAL DE CRICIÚMA",17,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",478879.39
2023,28.358.842/0001-39,2023-01-13,2023-12-31,2023-01-13,"TEDA DISTRIBUIDORA LTDA","PREFEITURA MUNICIPAL DE CRICIÚMA",18,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",1370
2023,33.260.627/0001-30,2023-01-13,2023-12-31,2023-01-13,"TYCO SERVICOS E COMERCIO DE INFORMATICA EIRELI","PREFEITURA MUNICIPAL DE CRICIÚMA",19,"Contratação de empresa para fornecimento de equipamentos de TI, sendo computadores completos, televisores smart, máquinas de corte a laser, impressoras 3D’s, switches, nobreaks e entre outros, conforme descritos neste plano de projeto, necessários para atendimento das demandas da Secretaria Municipal de Educação."," ",180968.4
