cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
83.662.387/0001-79,3401020848,"AUTO DE INFRAÇÃO - 23x21cm, offset 56gr + SB 50gr, 1x0 cor, numerado, picote 1ª  via, grampo. 50x2",1,"GRAFICA E EDITORA SANTO ANTONIO LTDA",300,BLC,2550,2250,8.5,7.5
83.662.387/0001-79,3401020849,"AUTORIZAÇÃO SAÍDA DE VEÍCULOS - 20x14cm, offset 56gr, 1x0 cor, colado.",2,"GRAFICA E EDITORA SANTO ANTONIO LTDA",400,BLC,1500,1200,3.75,3
83.662.387/0001-79,3401020850,"BLOCOS DE RASCUNHO PODER EXECUTIVO 15x21cm, offset  50gr, 1x0 cor colado",3,"GRAFICA E EDITORA SANTO ANTONIO LTDA",500,UND,1500,1300,3,2.6
83.662.387/0001-79,3401020851,"BOLETIM DE CADASTRO IMOBILIÁRIO - BCI - 28x21,5 cm, offset 56gr, 1x1 cor, colado.",4,"GRAFICA E EDITORA SANTO ANTONIO LTDA",100,BLC,958,840,9.58,8.4
83.662.387/0001-79,3401020852,"CAPAS AMARELAS - 30x21cm, cartolina amarela 180gr, sem impressão, furada",5,"GRAFICA E EDITORA SANTO ANTONIO LTDA",4000,UND,1200,1080,0.3,0.27
83.662.387/0001-79,3401020853,"CARTÃO DE PROTOCOLO GERAL - 8,5x15,6cm, offset 180gr, 1x1 cor.",6,"GRAFICA E EDITORA SANTO ANTONIO LTDA",40000,UND,3200,2800,0.08,0.07
83.662.387/0001-79,3401020854,"CARTÃO DE VISITAS - 5,1x9,2cm, triplex c2s 250gr, 4x0 cor",7,"GRAFICA E EDITORA SANTO ANTONIO LTDA",12500,UNID,4125,3750,0.33,0.3
83.662.387/0001-79,3401020856,"CARTÃO PONTO - 16,8x18,8cm, cartolina palha/areia, 1x1 cor, picote. LAMINA COM 02 UND",8,"GRAFICA E EDITORA SANTO ANTONIO LTDA",12500,UND,3625,3375,0.29,0.27
83.662.387/0001-79,3401020855,"CARTÃO PONTO - 16,8x18,8cm, cartolina palha/areia, 1x1 cor, picote.",9,"GRAFICA E EDITORA SANTO ANTONIO LTDA",10000,UND,2900,2700,0.29,0.27
83.662.387/0001-79,3401020866,"Comprovante de entrega de correios -15,2x9,3cm offset 120gr, 1x1 cor fita dupla face no verso.",10,"GRAFICA E EDITORA SANTO ANTONIO LTDA",10000,UNID,3700,3600,0.37,0.36
