ano,numero,dataEmissao,tipo,nomeCredor,valor
2023,3550,2023-09-18,Empenhar,"MARCELO GOMES & CIA LTDA",17302.43
2023,3551,2023-09-18,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",2043.96
2023,3552,2023-09-18,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",2947
2023,3553,2023-09-18,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",5400.03
2023,3554,2023-09-18,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",146.21
2023,3555,2023-09-18,Empenhar,"EMPORIO DAS LICITACOES COMERCIO LTDA",1339.2
2023,3984,2023-10-18,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",1490.54
2023,3985,2023-10-18,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",6759.82
2023,3986,2023-10-18,Empenhar,"EMPORIO DAS LICITACOES COMERCIO LTDA",1279.68
2023,3987,2023-10-18,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",146.21
2023,3988,2023-10-18,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",2302.86
2023,3989,2023-10-18,Empenhar,"MARCELO GOMES & CIA LTDA",16177.52
2023,3992,2023-10-18,Empenhar,"PROEPI EQUIPAMENTOS DE SEGURANCA LTDA",142.5
2023,4323,2023-11-08,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",146.21
2023,4324,2023-11-08,Empenhar,"PROEPI EQUIPAMENTOS DE SEGURANCA LTDA",95.04
2023,4325,2023-11-08,Empenhar,"MARCELO GOMES & CIA LTDA",13750.19
2023,4326,2023-11-08,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",1959.42
2023,4327,2023-11-08,Empenhar,"EMPORIO DAS LICITACOES COMERCIO LTDA",1190.4
2023,4328,2023-11-08,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",5702.52
2023,4329,2023-11-08,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",973.43
2023,4800,2023-12-07,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",571.28
2023,4801,2023-12-07,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",3349.87
2023,4802,2023-12-07,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",503.62
2023,4803,2023-12-07,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",715.14
2023,4804,2023-12-07,Empenhar,"MARCELO GOMES & CIA LTDA",6345.42
2024,178,2024-01-09,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",2254.26
2024,179,2024-01-09,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",7787.31
2024,180,2024-01-09,Empenhar,"EMPORIO DAS LICITACOES COMERCIO LTDA",1071.36
2024,181,2024-01-09,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",1801.16
2024,182,2024-01-09,Empenhar,"MARCELO GOMES & CIA LTDA",17581.41
2024,183,2024-01-09,Empenhar,"PROEPI EQUIPAMENTOS DE SEGURANCA LTDA",79.16
2024,184,2024-01-09,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",173.96
2024,847,2024-02-14,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",1128.7
2024,848,2024-02-14,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",6292.11
2024,849,2024-02-14,Empenhar,"EMPORIO DAS LICITACOES COMERCIO LTDA",1071.36
2024,850,2024-02-14,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",170.51
2024,851,2024-02-14,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",1753.24
2024,852,2024-02-14,Empenhar,"MARCELO GOMES & CIA LTDA",9053.91
2024,1369,2024-03-18,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",753.1
2024,1370,2024-03-18,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",3058.59
2024,1371,2024-03-18,Empenhar,"EMPORIO DAS LICITACOES COMERCIO LTDA",1071.36
2024,1372,2024-03-18,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",174.66
2024,1373,2024-03-18,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",2174.58
2024,1374,2024-03-18,Empenhar,"MARCELO GOMES & CIA LTDA",11151.58
2024,1883,2024-04-24,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",2709.71
2024,1884,2024-04-24,Empenhar,"EMPORIO DAS LICITACOES COMERCIO LTDA",1294.56
2024,1885,2024-04-24,Empenhar,"MARCELO GOMES & CIA LTDA",26630.02
2024,1886,2024-04-24,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",9303.17
2024,1887,2024-04-24,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",0
2024,1888,2024-04-24,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",2127.48
2024,1889,2024-04-24,Empenhar,"PROEPI EQUIPAMENTOS DE SEGURANCA LTDA",253.12
2024,2722,2024-06-14,Empenhar,"ESSENCIA COSMETICOS E ACESSORIOS LTDA.",136.59
2024,2723,2024-06-14,Empenhar,"PROEPI EQUIPAMENTOS DE SEGURANCA LTDA",126.56
2024,2724,2024-06-14,Empenhar,"COOPERATIVA FAMILIAR DE PRODUCAO AGRICOLA NOVA VIDA",5607.68
2024,2725,2024-06-14,Empenhar,"MARCELO GOMES & CIA LTDA",17600.11
2024,2726,2024-06-14,Empenhar,"EMPORIO DAS LICITACOES COMERCIO LTDA",1577.28
2024,2727,2024-06-14,Empenhar,"FRANBIFF COMERCIO E TRANSPORTES LTDA",2029.92
2024,2728,2024-06-14,Empenhar,"BARRA COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI",2917.12
2024,3169,2024-07-10,Empenhar,"MARCELO GOMES & CIA LTDA",35551.76
