cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
90.180.605/0001-02,0,,10,"GENTE SEGURADORA S/A",1,,60385.57,60312.46,60385.57,60312.46
90.180.605/0001-02,0,,9,"GENTE SEGURADORA S/A",1,,11017.88,10923.57,11017.88,10923.57
90.180.605/0001-02,0,,8,"GENTE SEGURADORA S/A",1,,3256.5,2904.03,3256.5,2904.03
90.180.605/0001-02,0,,7,"GENTE SEGURADORA S/A",1,,27333.21,21135.46,27333.21,21135.46
90.180.605/0001-02,0,,6,"GENTE SEGURADORA S/A",1,,27336.08,25919.56,27336.08,25919.56
90.180.605/0001-02,0,,5,"GENTE SEGURADORA S/A",1,,186047.25,124430.37,186047.25,124430.37
90.180.605/0001-02,0,,4,"GENTE SEGURADORA S/A",1,,53266.99,53203.22,53266.99,53203.22
90.180.605/0001-02,0,,3,"GENTE SEGURADORA S/A",1,,143183.83,141921.28,143183.83,141921.28
90.180.605/0001-02,0,,2,"GENTE SEGURADORA S/A",1,,43090.14,30627.65,43090.14,30627.65
90.180.605/0001-02,0,,1,"GENTE SEGURADORA S/A",1,,68351.79,68299.17,68351.79,68299.17
