cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
83.662.387/0001-79,3401020847,"AUTO DE INFRAÇÃO  - 23x21cm, offset 56gr + SB 50gr, 1x0 cor, numerado, picote 1ª e 2ª  via, grampo. 50x3",1,"GRAFICA E EDITORA SANTO ANTONIO LTDA",400,BLC,5760,3796,14.4,9.49
83.662.387/0001-79,3401020846,"AUTO DE INFRAÇÃO  - 23x21cm, offset 56gr + SB 50gr, 1x0 cor, numerado, picote 1ª e 2ª  via, grampo. 50x2.",2,"GRAFICA E EDITORA SANTO ANTONIO LTDA",300,BLC,2937,1947,9.79,6.49
83.662.387/0001-79,3401020849,"AUTORIZAÇÃO SAÍDA DE VEÍCULOS  20x14cm, offset 56gr, 1x0 cor, colado. 100x1.",3,"GRAFICA E EDITORA SANTO ANTONIO LTDA",400,BLC,2760,1396,6.9,3.49
83.662.387/0001-79,3401025520,"BLOCO RASCUNHO PODER EXECUTIVO - 21X15cm, offset 56gr, 1x0 cor, colado.",4,"GRAFICA E EDITORA SANTO ANTONIO LTDA",500,BLC,1780,1250,3.56,2.5
83.662.387/0001-79,3401020851,"BOLETIM DE CADASTRO IMOBILIÁRIO  BCI  28x21,5 cm, offset 56gr, 1x1 cor, colado. 100x1.",5,"GRAFICA E EDITORA SANTO ANTONIO LTDA",100,BLC,1400,740,14,7.4
83.662.387/0001-79,3401020852,"CAPAS AMARELAS - 30x21cm, cartolina amarela 180gr, sem impressão, furada",6,"GRAFICA E EDITORA SANTO ANTONIO LTDA",4000,UND,2200,760,0.55,0.19
83.662.387/0001-79,3401020853,"CARTÃO DE PROTOCOLO GERAL - 8,5x15,6cm, offset 180gr, 1x1 cor.",7,"GRAFICA E EDITORA SANTO ANTONIO LTDA",40000,UND,4000,3200,0.1,0.08
83.662.387/0001-79,3401020854,"CARTÃO DE VISITAS - 5,1x9,2cm, triplex c2s 250gr, 4x0 cor",8,"GRAFICA E EDITORA SANTO ANTONIO LTDA",50,UNID,6500,5000,130,100
83.662.387/0001-79,3401020856,"CARTÃO PONTO - 16,8x18,8cm, cartolina palha/areia, 1x1 cor, picote. LAMINA COM 02 UND",9,"GRAFICA E EDITORA SANTO ANTONIO LTDA",12000,UND,4680,2880,0.39,0.24
83.662.387/0001-79,3401025521,"COMPROVANTE ENTREGA CORREIOS 15,2x9,3cm. Offset 120gr, 1x1 cor, fita dupla face no verso.",10,"GRAFICA E EDITORA SANTO ANTONIO LTDA",10000,UN,2600,1900,0.26,0.19
83.662.387/0001-79,3401020868,"ENVELOPE GRANDE TIMBRADO - 26x36cm, offset 90gr, 1x0 cor.",11,"GRAFICA E EDITORA SANTO ANTONIO LTDA",8000,UND,6240,5600,0.78,0.7
83.662.387/0001-79,3401020869,"ENVELOPE MÉDIO TIMBRADO - 18,5x24,8 cm, offset 90gr 1x0 cor.",12,"GRAFICA E EDITORA SANTO ANTONIO LTDA",6000,UND,3600,2880,0.6,0.48
83.662.387/0001-79,3401020870,"ENVELOPE OFÍCIO COM TIMBRE - 11,4x22,9 cm, offset 75gr,1x0 cor.",13,"GRAFICA E EDITORA SANTO ANTONIO LTDA",15000,UND,4950,4200,0.33,0.28
83.662.387/0001-79,3401020871,"FOLHA ADESIVO A4 - 21x30cm, adesivo fosco sem impressão, 7 pré-corte.",14,"GRAFICA E EDITORA SANTO ANTONIO LTDA",8000,UND,5040,4000,0.63,0.5
83.662.387/0001-79,3401025522,"FORMULÁRIO DENÚNCIA DE INVASÕES - 28x21cm, offset 56gr 1X1 cor, numerado, picote. 50x3.",15,"GRAFICA E EDITORA SANTO ANTONIO LTDA",50,BLC,1000,800,20,16
83.662.387/0001-79,3401025523,"MEMORANDO INTERNO - 15x21cm, offset 56gr + SB amarelo 50gr, 1x0 cor, picote 1ª  via, grampo. 50x2.",16,"GRAFICA E EDITORA SANTO ANTONIO LTDA",500,BLC,3450,2245,6.9,4.49
83.662.387/0001-79,3401025524,"NOTIFICAÇÕES  - 23x21cm, offset 56gr + SB 50gr, 1x0 cor, numerado, picote 1ª e 2ª via, grampo. 50x3.",17,"GRAFICA E EDITORA SANTO ANTONIO LTDA",250,BLC,3750,2500,15,10
83.662.387/0001-79,3401025525,"NOTIFICAÇÕES - 23x21cm, offset 56gr + SB 50gr, 1x0 cor, numerado, picote 1ª via, grampo. 50x2.",18,"GRAFICA E EDITORA SANTO ANTONIO LTDA",250,BLC,2500,1900,10,7.6
83.662.387/0001-79,3401020878,"PASTA COMISSÃO DE LICITAÇÃO - 47x32,2cm, triplex 250gr c1s, 4x0 cor, vinco.",19,"GRAFICA E EDITORA SANTO ANTONIO LTDA",3000,UND,4860,3750,1.62,1.25
83.662.387/0001-79,3401025526,"PASTA DE BOLSA PMC - 47x32,5cm, duplex 250gr, 1x0 cor, vinco.",20,"GRAFICA E EDITORA SANTO ANTONIO LTDA",3000,UN,3990,3150,1.33,1.05
83.662.387/0001-79,3401020880,"PASTA DE PROCESSO - 47x32,5cm, duplex 250gr, 1x0 cor, vinco.",21,"GRAFICA E EDITORA SANTO ANTONIO LTDA",35000,UND,42700,30800,1.22,0.88
83.662.387/0001-79,3401025527,"PASTA DE CARTOLINA AZUL E VERDE RH - 47x32,5cm, 180gr, 0 cor",22,"GRAFICA E EDITORA SANTO ANTONIO LTDA",2000,UN,1600,1400,0.8,0.7
83.662.387/0001-79,3401020882,"PASTA PODER EXECUTIVO 47x32,5cm, triplex 250gr c1s, 4x0 cor, plastificado, corte e vinco orelhas.",23,"GRAFICA E EDITORA SANTO ANTONIO LTDA",5000,UND,9000,5750,1.8,1.15
83.662.387/0001-79,3401020883,"PASTA PODER EXECUTIVO P/B - 47x32,5cm, duplex 250gr, 1x0 cor, vinco.",24,"GRAFICA E EDITORA SANTO ANTONIO LTDA",6000,UND,7980,6000,1.33,1
