ano,numero,dataEmissao,tipo,nomeCredor,valor
2025,2714,2025-04-10,Empenhar,"LAURETH IMPORTS LTDA",70850
2025,2732,2025-04-11,Empenhar,"BRUDERTEC INFORMATICA E SISTEMA DE SEGURANCA LTDA",2530
2025,2733,2025-04-11,Empenhar,"GRUPO GBA COMERCIO ATACADISTA & SERVICOS LTDA",24804
2025,2734,2025-04-11,Empenhar,"GRUPO GBA COMERCIO ATACADISTA & SERVICOS LTDA",5184
2025,2735,2025-04-11,Empenhar,"RS MIDIA SUPRIMENTOS DE INFORMATICA LTDA",4432
2025,2736,2025-04-11,Empenhar,"RS MIDIA SUPRIMENTOS DE INFORMATICA LTDA",7420
2025,3175,2025-04-30,Empenhar,"J U V DISTRIBUIDORA DE EQUIPAMENTO DE INFORMATICA LTDA",47700
2025,3176,2025-04-30,Empenhar,"FACE ATTIVITA COMMERCIALE LTDA.",2625
2025,3177,2025-04-30,Empenhar,"LAURETH IMPORTS LTDA",4635
2025,3178,2025-04-30,Empenhar,"LAURETH IMPORTS LTDA",5930
2025,3190,2025-04-30,Empenhar,"FACE ATTIVITA COMMERCIALE LTDA.",1125
2025,5835,2025-08-28,Empenhar,"RS MIDIA SUPRIMENTOS DE INFORMATICA LTDA",3710
