ano,numero,dataEmissao,tipo,nomeCredor,valor
2024,419,2024-10-01,Empenhar,"DS PNEUS LTDA",2870
2024,6793,2024-10-01,Empenhar,"DS PNEUS LTDA",3230
2024,6794,2024-10-01,Empenhar,"DS PNEUS LTDA",19500
2024,6795,2024-10-01,Empenhar,"DS PNEUS LTDA",2992
2024,6796,2024-10-01,Empenhar,"DS PNEUS LTDA",2666
2024,456,2024-10-01,Empenhar,"DS PNEUS LTDA",1170
2024,457,2024-10-01,Empenhar,"DS PNEUS LTDA",570
2024,6991,2024-10-16,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",5972
2024,6992,2024-10-16,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",9112
2024,5850,2024-08-28,Empenhar,"DS PNEUS LTDA",52390
2024,5851,2024-08-28,Empenhar,"DS PNEUS LTDA",920
2024,5852,2024-08-28,Empenhar,"DS PNEUS LTDA",6750
2024,5853,2024-08-28,Empenhar,"DS PNEUS LTDA",3990
2024,7759,2024-11-18,Empenhar,"PIETRO E-COMMERCE LTDA.",25588
2024,7758,2024-11-18,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",2986
2024,7757,2024-11-18,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",7208
2024,7750,2024-11-18,Empenhar,"RODOKAS COMERCIO DE PNEUS LTDA",0
2024,6162,2024-09-04,Empenhar,"DS PNEUS LTDA",4560
2024,6161,2024-09-04,Empenhar,"DS PNEUS LTDA",91952
2024,7766,2024-11-18,Empenhar,"DS PNEUS LTDA",2340
2024,7765,2024-11-18,Empenhar,"DS PNEUS LTDA",3610
2024,7764,2024-11-18,Empenhar,"DS PNEUS LTDA",16076
2024,54,2024-08-28,Empenhar,"DS PNEUS LTDA",2060
2024,3881,2024-08-28,Empenhar,"DS PNEUS LTDA",2470
2024,3880,2024-08-28,Empenhar,"DS PNEUS LTDA",11020
2024,5185,2024-11-21,Empenhar,"DS PNEUS LTDA",2090
2024,5186,2024-11-21,Empenhar,"DS PNEUS LTDA",5206
2024,380,2024-09-04,Empenhar,"DS PNEUS LTDA",760
2024,379,2024-09-04,Empenhar,"DS PNEUS LTDA",6400
2024,477,2024-11-18,Empenhar,"DS PNEUS LTDA",1496
2024,478,2024-11-18,Empenhar,"DS PNEUS LTDA",380
2024,405,2024-08-28,Empenhar,"DS PNEUS LTDA",950
2025,2804,2025-04-16,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",2472
2025,2805,2025-04-16,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",5792
2025,2973,2025-04-28,Empenhar,"DS PNEUS LTDA",4300
2025,2974,2025-04-28,Empenhar,"DS PNEUS LTDA",530
2025,2975,2025-04-28,Empenhar,"DS PNEUS LTDA",9120
2025,2976,2025-04-28,Empenhar,"DS PNEUS LTDA",2340
2025,2977,2025-04-28,Empenhar,"DS PNEUS LTDA",1740
2025,2978,2025-04-28,Empenhar,"DS PNEUS LTDA",3460
2025,2979,2025-04-28,Empenhar,"DS PNEUS LTDA",4700
2025,2980,2025-04-28,Empenhar,"DS PNEUS LTDA",43154
2025,2981,2025-04-28,Empenhar,"DS PNEUS LTDA",5662
2025,310,2025-04-28,Empenhar,"DS PNEUS LTDA",2850
2025,309,2025-04-28,Empenhar,"DS PNEUS LTDA",8630
2025,33,2025-04-28,Empenhar,"DS PNEUS LTDA",1030
2025,34,2025-04-28,Empenhar,"DS PNEUS LTDA",570
2025,155,2025-04-28,Empenhar,"DS PNEUS LTDA",1326
2025,156,2025-04-28,Empenhar,"DS PNEUS LTDA",1140
2025,2496,2025-04-29,Empenhar,"DS PNEUS LTDA",13470
2025,2497,2025-04-29,Empenhar,"DS PNEUS LTDA",4370
2025,4061,2025-06-13,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",16140
2025,4094,2025-06-17,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",1236
2025,5108,2025-07-25,Empenhar,"RODA BRASIL PNEUS LTDA",32866
2025,5109,2025-07-25,Empenhar,"PIETRO E-COMMERCE LTDA.",6750
2025,5110,2025-07-25,Empenhar,"LESSA COMERCIO DE PNEUS EIRELI",2472
