cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
10.750.530/0001-00,3401030098,"Apagador de moxa Características: Confeccionado em madeira; Formato anatômico; Resistente a altas Temperaturas; Comprimento (cm)6 Altura (cm)4 Largura (cm)4",5,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",7,UND,195.3,189,27.9,27
10.750.530/0001-00,3401030100,"Aplicador para Moxa Aplicador Para Moxa Bastonete c/5 Furos em Metal; Confeccionado em metal;  Possui 5 inserções para moxa bastonete.",7,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",4,UND,254.2,104,63.55,26
10.750.530/0001-00,3401030101,"Aromatizador Umidificador Difusor Ambiente Tulipa Ultrassônico Tipo Madeira.",15,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",5,UND,435,380,87,76
10.750.530/0001-00,3401030102,"Caixa com Ponto de semente com micropore para Auriculoterapia",16,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",50,CX,14775,5650,295.5,113
10.750.530/0001-00,3401030105,"Kit Ventosaterapia",19,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",5,KIT,1919.15,1530,383.83,306
10.750.530/0001-00,3401030107,"Moxa Bastão Caixa",21,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",30,CX,1837.8,1350,61.26,45
10.750.530/0001-00,3401030108,"Moxa Incenso - Mogussa-kô Caixa com 50un – Livre de Artemísia em sua formulação; Comprimento (cm)3Altura (cm)15Largura (cm)6",22,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",30,CX,1866,1860,62.2,62
10.750.530/0001-00,3401030109,"Moxa tipo palito De artemísia tamanho 6 x 25 mm com 200 unidades",23,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",30,CX,2640,1554,88,51.8
10.750.530/0001-00,3401030111,"Óleo de Cedro de Atlas Características: puro, natural, extraído a frio, Sem conservantes e Parabenos, frasco de vidro 10ml.",25,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",25,UND,1000,495,40,19.8
10.750.530/0001-00,3401030112,"Óleo essencial Alecrim. Características: puro, natural, extraído a frio, sem conservantes e parabenos, Frasco de vidro 10ml.",26,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",40,UND,1600,792,40,19.8
10.750.530/0001-00,3401030113,"Óleo essencial Capim Limão. Características:Puro, natural, extraído a frio, sem conservantes e Parabenos, frasco de vidro 10ml.",27,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",35,UND,1400,598.5,40,17.1
10.750.530/0001-00,3401030114,"Óleo essencial Copaíba. Características: puro, Natural, extraído a frio, sem conservantes E parabenos, frasco de vidro 10ml.",28,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",30,UND,1200,642,40,21.4
10.750.530/0001-00,3401030115,"Óleo essencial de olíbano Características: puro, natural, extraído a frio, Sem conservantes e Parabenos, frasco de vidro 5 Ml",29,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",40,UND,1600,856,40,21.4
10.750.530/0001-00,3401030116,"Óleo essencial Eucalipto Globulus Características: puro, natural, extraído a frio, sem conservantes e parabenos, Frasco de vidro 10ml.",30,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",40,UND,1600,792,40,19.8
10.750.530/0001-00,3401030117,"Óleo essencial Gerânio. Características: puro, natural, extraído a frio, Sem conservantes E parabenos, frasco de vidro 10ml.",31,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",35,UND,1400,749,40,21.4
10.750.530/0001-00,3401030118,"Óleo essencial Hortelã Pimenta. Características: puro, Natural, extraído a frio, sem conservantes e parabenos, Frasco de vidro 10ml.",32,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",60,UND,2400,1380,40,23
10.750.530/0001-00,3401030119,"Óleo essencial Laranja doce. Características: puro, natural, extraído a frio, Sem conservantes Parabenos, frasco de vidro 10ml.",33,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",40,UND,1600,480,40,12
10.750.530/0001-00,3401030120,"Óleo essencial Lavanda. Características: puro, natural, extraído a frio,  Sem conservantes e parabenos, frasco de vidro 10ml.",34,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",60,UND,2400,1117.8,40,18.63
10.750.530/0001-00,3401030125,"Óleo essencial Yuzu Características: puro, natural, extraído a frio, Sem conservantes e Parabenos, frasco de vidro 10ml.",39,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",30,UND,1200,582,40,19.4
10.750.530/0001-00,3401030127,"Tina para escalda-pés Bacia interior em alumínio Entorno em madeira. Balde de alumínio removível. Capacidade em litros aprox 9,8lt Dimensões Medida Externa 32x32cm E altura de 18cm Medida Interna 29,5x29,5cm e altura de 15cm",41,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",6,UND,557.7,492,92.95,82
10.750.530/0001-00,3401030128,"Ventosa de vidro: Características: Confeccionado em vidro, com Bordas arredondadas e bem acabadas em três  Tamanhos diferentes: n°4 (G), n°3 (M), n°2 (P)",42,"KRISTALL DISTRIBUIDORA DE PRODUTOS PARA SAÚDE LTDA",12,KIT,960,960,80,80
28.358.842/0001-39,3401030103,"Espatula de silicone. Espatula de silicone, tipo “doméstica”,  Dimensão aproximada 28 cm (comprimento) x 3cm largura (base) para manipular argila.",17,"TEDA DISTRIBUIDORA LTDA",10,UND,270,211,27,21.1
28.358.842/0001-39,3401030110,"Óleo carreador neutro para massoterapia Óleo Neutro Para Massagem –  Sem perfume e sem conservantes; Embalagem plástica com 1 litro",24,"TEDA DISTRIBUIDORA LTDA",8,L,720.64,719.2,90.08,89.9
28.358.842/0001-39,3401030121,"Óleo essencial Palmarosa. Características: puro, natural, extraído a frio, Sem conservantes E parabenos, frasco de vidro 10ml.",35,"TEDA DISTRIBUIDORA LTDA",40,UND,1600,1080,40,27
28.358.842/0001-39,3401030122,"Óleo essencial Patchouli. Características: puro, natural, extraído a frio, Sem conservantes e Parabenos, frasco de vidro 10ml.",36,"TEDA DISTRIBUIDORA LTDA",30,UND,1200,900,40,30
28.358.842/0001-39,3401030123,"Óleo essencial Wintergreen Características: puro, natural, extraído a frio, Sem conservantes E parabenos, frasco de vidro 10ml.",37,"TEDA DISTRIBUIDORA LTDA",40,UND,1600,1200,40,30
