cnpjCpfVencedor,codigo,descricao,numero,participanteVencedor,quantidade,unidadeMedida,valorTotalReferencia,valorTotalVencedor,valorUnitarioReferencia,valorUnitarioVencedor
10.561.534/0001-40,10364517,"Cabo PP.",1,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",588,M,3392.76,564.48,5.77,0.96
10.561.534/0001-40,80300726,"Cano de Cobre ½",2,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",356,M,43218.4,7194.76,121.4,20.21
10.561.534/0001-40,10371632,"Cano cobre ¼;",3,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",366,M,44395.8,7393.2,121.3,20.2
10.561.534/0001-40,10305953,"Cano cobre ¾",4,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",350,M,45990,7658,131.4,21.88
10.561.534/0001-40,10305954,"Cano cobre 3/8",5,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",334,M,40748,6783.54,122,20.31
10.561.534/0001-40,10305956,"Cano cobre 5/8",6,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",278,M,36529.2,6082.64,131.4,21.88
10.561.534/0001-40,10305957,"Cano esponjoso ¼",7,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",263,M,1201.91,199.88,4.57,0.76
10.561.534/0001-40,10305958,"Cano esponjoso ½",8,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",263,M,1556.96,260.37,5.92,0.99
10.561.534/0001-40,10305960,"Cano esponjoso ¾",9,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",263,M,1917.27,318.23,7.29,1.21
10.561.534/0001-40,10305961,"Cano esponjoso 3/8",10,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",273,M,1351.35,223.86,4.95,0.82
10.561.534/0001-40,10305963,"Cano esponjoso 5/8",11,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",293,M,1872.27,310.58,6.39,1.06
10.561.534/0001-40,41222,"CAPACITOR 380 V 2UF",12,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",182,UN,826.28,138.32,4.54,0.76
10.561.534/0001-40,41223,"CAPACITOR 380 V  4 UF",13,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",182,UN,1306.76,218.4,7.18,1.2
10.561.534/0001-40,10384556,"Capacitor 380V 6 UF",14,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",177,UND,3568.32,594.72,20.16,3.36
10.561.534/0001-40,10384557,"Capacitor 380V 25 UF",15,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",177,UND,4288.71,713.31,24.23,4.03
10.561.534/0001-40,41225,"CAPACITOR 380 V  30UF",16,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",177,UN,5292.3,881.46,29.9,4.98
10.561.534/0001-40,10384559,"Capacitor 380V 35 UF",17,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",437,UND,22099.09,3679.54,50.57,8.42
10.561.534/0001-40,10384560,"Capacitor 380V 40 UF",18,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",294,UND,10819.2,1802.22,36.8,6.13
10.561.534/0001-40,10384561,"Capacitor 380V 45 UF",19,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",235,UND,8274.35,1377.1,35.21,5.86
10.561.534/0001-40,10384562,"Capacitor 380V 55 UF",20,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",184,UND,6837.44,1138.96,37.16,6.19
10.561.534/0001-40,10305979,"Chave contactora CWM 09",21,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",73,UND,14804.4,2465.94,202.8,33.78
10.561.534/0001-40,10305980,"Chave contactora CWM 10",22,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",73,UND,14804.4,2465.21,202.8,33.77
10.561.534/0001-40,10371641,"Compressor para Split 9000 BTUS",23,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",34,UND,33830,5632.78,995,165.67
10.561.534/0001-40,10371642,"Compressor para Split 12000 BTUS",24,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",32,UND,34096,5644.8,1065.5,176.4
10.561.534/0001-40,10371643,"Compressor para Split 18000 BTUS",25,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",31,UND,37835.5,6299.51,1220.5,203.21
10.561.534/0001-40,10371644,"Compressor para Split 24000 BTUS",26,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",29,UND,43357.9,7218.97,1495.1,248.93
10.561.534/0001-40,41234,"COMPRESSOR SPLIT 30000BTU",27,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",27,UN,47660.4,7962.57,1765.2,294.91
10.561.534/0001-40,10371646,"Compressor para Split 60000 BTUS",28,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",26,UND,48230,8030.36,1855,308.86
10.561.534/0001-40,10117511,"CONTROLE REMOTO",29,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",94,UND,3192.24,531.1,33.96,5.65
10.561.534/0001-40,3401029539,"SERVIÇOS DE RECARGA DE GAS R 410 DE 9.000 A 60.000 BTUS TODAS AS MARCAS COM INSUMOS INCLUSO.",30,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",516,SER,355524,59200.68,689,114.73
10.561.534/0001-40,3401029541,"SERVIÇOS DE RECARGAS DE GAS R 22 DE 9.000 A 60.000 BTUS TODAS AS MARCAS COM INSUMO INCLUSO",31,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",519,SER,534362.4,88972.17,1029.6,171.43
10.561.534/0001-40,39547,"HELICE DE AR CONDICIONADO 7000Á 24000 BTUS",32,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",65,UN,12786.15,2129.4,196.71,32.76
10.561.534/0001-40,10361343,"90328929 PLACA ELETRONICA",33,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",198,UND,28416.96,4730.22,143.52,23.89
10.561.534/0001-40,10385660,"87426773	MOTOR DO VENTILADOR",34,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",89,UND,26379.6,4393.04,296.4,49.36
10.561.534/0001-40,41237,"SUPORTE SPLIT 7000 Á 12000 BTUS",35,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",127,UN,7051.04,1300.48,55.52,10.24
10.561.534/0001-40,41238,"SUPORTE SPLIT 18000 Á 30000 BTUS",36,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",123,UN,15926.04,2651.88,129.48,21.56
10.561.534/0001-40,41239,"TERMOSTATO AR CONDICIONADO",37,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",63,UN,4914,819,78,13
10.561.534/0001-40,3401029415,"TURBINA VEMTILADOR PARA AR CONDICIONADO",38,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",57,UNID,8743.8,1455.78,153.4,25.54
10.561.534/0001-40,182403652,"Servicos de instalacao de ar  condicionado",39,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",789,SV,451308,75144.36,572,95.24
10.561.534/0001-40,3401029542,"LIMPEZA DE AR CONDICIONADO  DE 9.000 A 60.000 COM RETIRADA",40,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",1799,SV,514514,85668.38,286,47.62
10.561.534/0001-40,3401029543,"LIMPEZA COMPLETA DE AR DE 9.000 A 60.000 SEM RETIRADA",41,"B & C CLIMATIZACAO E REFRIGERACAO LTDA.",2566,SER,467012,77749.8,182,30.3
