cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
26.947.090/0001-16,INDIVIDUAL," "," ","ROSEMARA DOS SANTOS ME",,," "
52.017.064/0001-07,INDIVIDUAL," ","itensProposta_517eab62-7691-457e-a2bc-197313f9d448.csv","MASTERBIDS TECNOLOGIA E SERVICOS ESPECIALIZADOS LTDA",,," "
27.830.943/0001-06,INDIVIDUAL," ","itensProposta_b55c3b2f-49b2-4152-a753-7df0461207a6.csv","LAURETH IMPORTS LTDA",,," "
39.803.470/0001-29,INDIVIDUAL," "," ","CRICELL IMPORTS LTDA",,," "
39.266.789/0001-62,INDIVIDUAL," ","itensProposta_10d82376-c8bf-4820-befc-684e155aabbf.csv","E BRAATZ",,," "
41.087.715/0001-00,INDIVIDUAL," "," ","EMPORIO DAS LICITACOES COMERCIO LTDA",,," "
28.259.633/0001-38,INDIVIDUAL," ","itensProposta_b42bb2e1-e378-4f40-b6ae-404f60706b18.csv","3IP FULL RETAIL LTDA",,," "
42.187.331/0001-22,INDIVIDUAL," "," ","OSMAR SANTOS SILVA 54417996504",,," "
23.106.657/0001-33,INDIVIDUAL," "," ","IMPÉRIO SOLUÇÕES ADMINISTRATIVAS E PÚBLICAS LTDA",,," "
32.519.346/0001-97,INDIVIDUAL," "," ","GASKAM COMERCIO E CONSTRUCAO CIVIL EIRELI",,," "
45.687.323/0001-33,INDIVIDUAL," ","itensProposta_42031d9b-f51d-430e-b940-45cd7ccdbab1.csv","L N CASTAGNARO LTDA",,," "
33.008.679/0001-14,INDIVIDUAL," ","itensProposta_6a7d04a9-a6c1-4247-bdb1-76d38f7edc76.csv","INTELMASTER LTDA",,," "
47.957.488/0001-03,INDIVIDUAL," ","itensProposta_f4ba742a-c12f-420c-b9cd-7c1e7bc63fad.csv","FG SERVICOS E COMERCIO DE EQUIPAMENTOS DE SEGURANCA E INFORMATICA LTDA",,," "
85.067.502/0001-92,INDIVIDUAL," ","itensProposta_e6fcf3bf-9fb5-4fa1-9519-06d4c9362c5a.csv","PROINDEX INDUSTRIA E COMERCIO LTDA",,," "
50.474.698/0002-36,INDIVIDUAL," "," ","ROYAL COMERCIO ATACADISTA LTDA",,," "
51.784.579/0001-61,INDIVIDUAL," ","itensProposta_f1b3b7f7-d410-4ee9-ba1b-f91ab06cffa3.csv","S C T MACKERT",,," "
13.773.836/0001-70,INDIVIDUAL," ","itensProposta_2f9af223-f624-4ea8-8090-cc14e234f146.csv","SANGAO INFORMATICA LTDA",,," "
47.944.946/0001-70,INDIVIDUAL," ","itensProposta_0456b1bc-104a-411c-aeb7-d3d5b8c0c340.csv","MIDA SOLUÇÕES LTDA",,," "
40.811.541/0001-14,INDIVIDUAL," "," ","FACE ATTIVITA COMMERCIALE LTDA.",,," "
