ano,numero,dataEmissao,tipo,nomeCredor,valor
2025,5024,2025-07-23,Empenhar,"STRATURA ASFALTOS LTDA.",409000
2025,5025,2025-07-23,Empenhar,"STRATURA ASFALTOS LTDA.",100000
2025,5352,2025-07-30,Empenhar,"GRECA DISTRIBUIDORA DE ASFALTOS LTDA.",60900
2025,5386,2025-08-04,Empenhar,"STRATURA ASFALTOS LTDA.",200000
2025,5387,2025-08-04,Empenhar,"STRATURA ASFALTOS LTDA.",309000
2025,5544,2025-08-15,Empenhar,"STRATURA ASFALTOS LTDA.",300000
2025,5545,2025-08-15,Empenhar,"STRATURA ASFALTOS LTDA.",100000
2025,5546,2025-08-15,Empenhar,"STRATURA ASFALTOS LTDA.",109000
2025,6098,2025-09-05,Empenhar,"GRECA DISTRIBUIDORA DE ASFALTOS LTDA.",60900
2025,6099,2025-09-05,Empenhar,"STRATURA ASFALTOS LTDA.",200000
2025,6100,2025-09-05,Empenhar,"STRATURA ASFALTOS LTDA.",100000
2025,6108,2025-09-05,Empenhar,"STRATURA ASFALTOS LTDA.",209000
2025,6399,2025-09-23,Empenhar,"STRATURA ASFALTOS LTDA.",500000
