cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
02.531.343/0001-08,INDIVIDUAL," ","itensProposta_d4764424-fcbf-4cc4-8178-2725cbd04b00.csv","ADSERVI - ADMINISTRADORA DE SERVICOS LTDA","LEONARDO BROERING","LEONARDO BROERING"," "
05.969.071/0001-10,INDIVIDUAL," ","itensProposta_a2d80e01-f4d1-4895-a7e3-a765143e8001.csv","APPA SERVICOS TEMPORARIOS E EFETIVOS LTDA","EDUARDO DUARTE NETO","EDUARDO DUARTE NETO"," "
85.431.161/0001-92,INDIVIDUAL," ","itensProposta_8e473e20-425c-4c28-af4f-476c06b09e3e.csv","BARREIRAS PRESTADORA DE SERVIÇOS EIRELI","JACÓ KULIK","JACÓ KULIK"," "
15.205.171/0001-24,INDIVIDUAL," ","itensProposta_53274190-f835-404d-b732-9f1acd778e1a.csv","C.ROMEIRA GESTÃO DE RH EIRELI","RODRIGO DA SILVEIRA E CALDAS","RODRIGO DA SILVEIRA E CALDAS"," "
04.983.028/0001-47,INDIVIDUAL," ","itensProposta_5785dd97-2bc9-438c-a723-eea956bc25cd.csv","CLAER SERVIÇOS GERAIS EIRELI","ROSILENE FENILI NICOLAU","ROSILENE FENILI NICOLAU"," "
08.583.069/0001-05,INDIVIDUAL," ","itensProposta_3c43ec67-750d-443f-9cdf-119bdb89dbe1.csv","DCS FORNECEDORA DE SERVIÇOS E PRODUTOS LTDA","DANIELLE CRISTINA DA SILVA MOREIRA DE CASTILHO","DANIELLE CRISTINA DA SILVA MOREIRA DE CASTILHO"," "
15.079.514/0001-51,INDIVIDUAL," ","itensProposta_b7eff13e-4764-4a98-b780-9f7685b9f623.csv","EDM CONSULTORIA E GESTÃO EMPRESARIAL LTDA","EDMAR CALOVI","EDMAR CALOVI"," "
11.046.495/0001-06,INDIVIDUAL," ","itensProposta_a41eef06-f833-4a28-b76c-191b7b930f5a.csv","FORTRESS SERVIÇOS LTDA","NADIO MALTAURO FLARESSO","NADIO MALTAURO FLARESSO"," "
00.146.889/0001-10,INDIVIDUAL," ","itensProposta_cc16052b-c845-4237-9d43-b829b2395be6.csv","GOCIL SERVICOS GERAIS LTDA","ALEXANDRE DA SILVA POSE","ALEXANDRE DA SILVA POSE"," "
03.803.992/0001-83,INDIVIDUAL," ","itensProposta_8fd94bc4-3aeb-4505-80c8-934923d2ff37.csv","KONSERV SISTEMA DE SERVIÇOS EIRELI","LUCAS EDUARDO SANTANA","LUCAS EDUARDO SANTANA"," "
83.953.331/0001-73,INDIVIDUAL," ","itensProposta_99d2fc11-46a1-4344-8c01-6c36681b837d.csv","ONDREPSB LIMPEZA E SERVIÇOS ESPECIAIS LTDA","LUIZ ERMES BORDIN","LUIZ ERMES BORDIN"," "
04.970.088/0001-25,INDIVIDUAL," ","itensProposta_dd0d2fa8-0aba-4c31-b7eb-7f440da1dbe7.csv","PLANSERVICE TERCEIRIZAÇÃO DE SERVIÇOS EIRELI","MARILENI CORREA DE CARVALHO FURLAN","MARILENI CORREA DE CARVALHO FURLAN"," "
50.400.407/0001-84,INDIVIDUAL," ","itensProposta_d5141ed2-e1a0-46d8-9506-905948310f71.csv","PROVAC TERCEIRIZAÇÃO DE MÃO DE OBRA LTDA","RICARDO MERLOS","RICARDO MERLOS"," "
37.111.318/0001-50,INDIVIDUAL," ","itensProposta_928b01ee-19bb-4776-af3f-b64fcba345bb.csv","RODOSERVICE ENGENHARIA E SERVICOS LTDA","JEAN CARLOS DONIZETE DE CRISTO JUNIOR","JEAN CARLOS DONIZETE DE CRISTO JUNIOR"," "
03.691.491/0001-52,INDIVIDUAL," ","itensProposta_fdf6488b-c93d-453a-98de-7cabb421e277.csv","SABRISAN COMERCIO E DISTRIBUICAO LTDA","LEILIANA DIAS VIEIRA","LEILIANA DIAS VIEIRA"," "
80.727.977/0001-44,INDIVIDUAL," ","itensProposta_a51326f2-b10a-4499-93e3-42250c80c3d9.csv","TRIANGULO ADMINISTRACAO E SERVICOS LTDA","MATEUS DANDOLINI MOTTA","MATEUS DANDOLINI MOTTA"," "
37.769.137/0001-15,INDIVIDUAL," ","itensProposta_0cc30525-b382-404f-a0b0-5d9d3efa45e1.csv","VICKY SUPPLY PAPELARIA E COMERCIO EM GERAL LTDA","RODRIGO RAFAEL SOARES DA ROSA","RODRIGO RAFAEL SOARES DA ROSA"," "
10.292.473/0001-63,INDIVIDUAL," ","itensProposta_3313ede1-924d-467e-8730-99fc16f9a774.csv","VIDALIMP PRESTADORA DE SERVIÇOS TERCEIRIZADOS EIRELI","LUCAS ZANG MACHADO","LUCAS ZANG MACHADO"," "
