cnpjCpfFornecedor,formaParticipacao,idFornecedor,itensProposta,nomeFonecedor,representanteCertame,responsavelFornecedor,socios
57.027.510/0001-70,INDIVIDUAL," ","itensProposta_979bdfe5-0a7a-48a7-915e-a521bde2e464.csv","ALISSON MORAIS DOS SANTOS LTDA","ALISSON MORAIS DOS SANTOS","ALISSON MORAIS DOS SANTOS"," "
15.475.377/0001-74,INDIVIDUAL," ","itensProposta_333d83dc-dc86-4af3-923f-0de79c30e103.csv","ATRITTO INDUSTRIA DE EQUIPAMENTOS LTDA","CARLOS IVAN DUTRA HUNTER","CARLOS IVAN DUTRA HUNTER"," "
13.545.823/0001-44,INDIVIDUAL," ","itensProposta_a0038214-2e99-41ef-a50a-a4cd085bc368.csv","CRISTIAN GONCALVES","CRISTIAN GONÇALVES","CRISTIAN GONÇALVES"," "
16.868.674/0001-42,INDIVIDUAL," ","itensProposta_70c265e8-2309-40dd-ace9-13fa7fabb711.csv","DIPAR FERRAGENS EIRELI","PATRICIA PAULA ANDRETTA ARCARI","PATRICIA PAULA ANDRETTA ARCARI"," "
05.168.674/0001-13,INDIVIDUAL," ","itensProposta_1330b886-139a-43aa-83c2-d1275f305a72.csv","DISBRAPLAC LTDA- EPP","GILMARA GLECI PALUDO VERSA","GILMARA GLECI PALUDO VERSA"," "
44.506.747/0001-91,INDIVIDUAL," ","itensProposta_5da9bd44-86b6-4977-8840-f6356d7b2ff4.csv","INOVAR SERVICOS E INSTALACOES LTDA","AMANDA ARNDT WAGNER","AMANDA ARNDT WAGNER"," "
13.225.775/0001-07,INDIVIDUAL," ","itensProposta_6dcec615-4754-4e92-9fc5-bb531b2c2f56.csv","13.225.775 ODIR JOSE COLLA","ODIR COLLA","ODIR COLLA"," "
60.626.606/0001-69,INDIVIDUAL," ","itensProposta_f12177f9-44ec-466b-9fdc-9aabb2d73a0a.csv","ÔMEGA SOLUÇÕES INTEGRADAS LTDA","JOÃO PEDRO DE ARAUJO OLIVEIRA","JOÃO PEDRO DE ARAUJO OLIVEIRA"," "
04.879.948/0001-10,INDIVIDUAL," ","itensProposta_922aae71-cf2c-4f48-8370-ed5078faca50.csv","PREQUIP - COMERCIAL DE EQUIPAMENTOS EIRELI","JEFERSON POLICENO DE SOUSA","JEFERSON POLICENO DE SOUSA"," "
15.246.158/0001-13,INDIVIDUAL," ","itensProposta_2b939924-c330-49b2-9d87-d86d8321fc97.csv","S & S CONSTRUCOES LTDA","SAIMON DOS SANTOS","SAIMON DOS SANTOS"," "
